hydrogen_node,attached_heavy,attached_heavy_element,hydrogen_role,end,angle_1_deg,angle_2_deg,minimum_angle_deg,maximum_angle_deg,violation_count,coordinate_modified_in_Gate3P2
H4:LOWER:0113:0,BR4:LOWER:14:4,N,BRIDGE_PASSIVANT_H,LOWER,91.660011580891,98.41468423340737,91.660011580891,98.41468423340737,0,False
H4:LOWER:0174:0,S:1681,N,SEED_PASSIVANT_H,LOWER,82.19743615008348,77.09518003776618,77.09518003776618,82.19743615008348,0,False
H4:LOWER:0175:0,S:1683,N,SEED_PASSIVANT_H,LOWER,77.11210144194018,73.43796973912836,73.43796973912836,77.11210144194018,0,False
H4:LOWER:0176:0,S:1685,N,SEED_PASSIVANT_H,LOWER,81.56046023714073,71.61069697730736,71.61069697730736,81.56046023714073,0,False
H4:LOWER:0177:0,S:1687,N,SEED_PASSIVANT_H,LOWER,70.83017208671937,96.00746597227872,70.83017208671937,96.00746597227872,0,False
H4:LOWER:0178:0,S:1689,N,SEED_PASSIVANT_H,LOWER,84.38704302194415,71.25634587033021,71.25634587033021,84.38704302194415,0,False
H4:LOWER:0179:0,S:1691,N,SEED_PASSIVANT_H,LOWER,72.42721037865128,73.63742731591093,72.42721037865128,73.63742731591093,0,False
H4:LOWER:0180:0,S:1693,N,SEED_PASSIVANT_H,LOWER,70.49462262169506,77.8542308104846,70.49462262169506,77.8542308104846,0,False
H4:LOWER:0181:0,S:1695,N,SEED_PASSIVANT_H,LOWER,70.66870716535352,76.04394362661058,70.66870716535352,76.04394362661058,0,False
H4:LOWER:0182:0,S:1697,N,SEED_PASSIVANT_H,LOWER,72.36306903263652,84.05222578339105,72.36306903263652,84.05222578339105,0,False
H4:LOWER:0183:0,S:1699,N,SEED_PASSIVANT_H,LOWER,81.14104932028839,72.138535483986,72.138535483986,81.14104932028839,0,False
H4:LOWER:0184:0,S:1701,N,SEED_PASSIVANT_H,LOWER,78.52646357213109,72.15118614077291,72.15118614077291,78.52646357213109,0,False
H4:LOWER:0185:0,S:1703,N,SEED_PASSIVANT_H,LOWER,76.43710429203254,76.6064715963876,76.43710429203254,76.6064715963876,0,False
H4:LOWER:0186:0,S:1705,N,SEED_PASSIVANT_H,LOWER,72.93529229500447,71.54687245695709,71.54687245695709,72.93529229500447,0,False
