file,line_number,section
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,8,atomtypes
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,26,system
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,29,molecules
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,1,moleculetype
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,5,atoms
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,35,bonds
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,67,pairs
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,134,angles
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,185,dihedrals
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,281,position_restraints
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005.itp,5,moleculetype
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005.itp,9,atoms
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005.itp,16,settles
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005.itp,20,virtual_sites3
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005.itp,24,exclusions
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005_atomtypes.itp,2,atomtypes
parameters/phase1A/pyrene_gromacs/pyrene.itp,1,moleculetype
parameters/phase1A/pyrene_gromacs/pyrene.itp,5,atoms
parameters/phase1A/pyrene_gromacs/pyrene.itp,35,bonds
parameters/phase1A/pyrene_gromacs/pyrene.itp,67,pairs
parameters/phase1A/pyrene_gromacs/pyrene.itp,134,angles
parameters/phase1A/pyrene_gromacs/pyrene.itp,185,dihedrals
parameters/phase1A/pyrene_gromacs/pyrene.top,17,defaults
parameters/phase1A/pyrene_gromacs/pyrene.top,21,atomtypes
parameters/phase1A/pyrene_gromacs/pyrene.top,27,moleculetype
parameters/phase1A/pyrene_gromacs/pyrene.top,31,atoms
parameters/phase1A/pyrene_gromacs/pyrene.top,61,bonds
parameters/phase1A/pyrene_gromacs/pyrene.top,93,pairs
parameters/phase1A/pyrene_gromacs/pyrene.top,160,angles
parameters/phase1A/pyrene_gromacs/pyrene.top,211,dihedrals
parameters/phase1A/pyrene_gromacs/pyrene.top,306,system
parameters/phase1A/pyrene_gromacs/pyrene.top,310,molecules
parameters/phase1A/water_tip4p2005/tip4p2005.itp,5,moleculetype
parameters/phase1A/water_tip4p2005/tip4p2005.itp,9,atoms
parameters/phase1A/water_tip4p2005/tip4p2005.itp,16,settles
parameters/phase1A/water_tip4p2005/tip4p2005.itp,20,virtual_sites3
parameters/phase1A/water_tip4p2005/tip4p2005.itp,24,exclusions
parameters/phase1A/water_tip4p2005/tip4p2005_atomtypes.itp,2,atomtypes
