end,cycle_id,cycle_length,node_ids,layer_sequence,element_sequence
LOWER,LOWER_C00101,6,LOWER:L2:11 | LOWER:L3:10 | LOWER:L4:7 | LOWER:L5:6 | LOWER:L4:8 | LOWER:L3:11,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00102,6,LOWER:L2:14 | LOWER:L3:14 | LOWER:L4:10 | LOWER:L5:10 | LOWER:L4:11 | LOWER:L3:15,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00103,6,LOWER:L2:14 | LOWER:L3:14 | LOWER:L4:10 | LOWER:L5:9 | LOWER:L4:11 | LOWER:L3:15,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00104,6,LOWER:L2:15 | LOWER:L3:14 | LOWER:L4:10 | LOWER:L5:10 | LOWER:L4:11 | LOWER:L3:15,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00105,6,LOWER:L2:15 | LOWER:L3:14 | LOWER:L4:10 | LOWER:L5:9 | LOWER:L4:11 | LOWER:L3:15,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00106,6,LOWER:L2:22 | LOWER:L3:22 | LOWER:L4:16 | LOWER:L5:15 | LOWER:L4:17 | LOWER:L3:23,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00107,6,LOWER:L2:23 | LOWER:L3:22 | LOWER:L4:16 | LOWER:L5:15 | LOWER:L4:17 | LOWER:L3:23,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00108,6,LOWER:L2:26 | LOWER:L3:26 | LOWER:L4:19 | LOWER:L5:18 | LOWER:L4:20 | LOWER:L3:27,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00109,6,LOWER:L2:27 | LOWER:L3:26 | LOWER:L4:19 | LOWER:L5:18 | LOWER:L4:20 | LOWER:L3:27,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00110,6,LOWER:L2:4 | LOWER:L3:4 | LOWER:L4:3 | LOWER:L5:3 | LOWER:L4:4 | LOWER:L3:5,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00111,6,LOWER:L2:5 | LOWER:L3:4 | LOWER:L4:3 | LOWER:L5:3 | LOWER:L4:4 | LOWER:L3:5,2 | 3 | 4 | 5 | 4 | 3,BNBNBN
LOWER,LOWER_C00112,6,LOWER:L4:0 | LOWER:L5:1 | LOWER:L6:0 | LOWER:L5:0 | LOWER:L4:21 | LOWER:L5:19,4 | 5 | 6 | 5 | 4 | 5,BNBNBN
LOWER,LOWER_C00113,6,LOWER:L4:14 | LOWER:L5:13 | LOWER:L6:7 | LOWER:L5:12 | LOWER:L6:8 | LOWER:L5:14,4 | 5 | 6 | 5 | 6 | 5,BNBNBN
LOWER,LOWER_C00114,6,LOWER:L4:18 | LOWER:L5:16 | LOWER:L4:19 | LOWER:L5:18 | LOWER:L6:10 | LOWER:L5:17,4 | 5 | 4 | 5 | 6 | 5,BNBNBN
LOWER,LOWER_C00115,6,LOWER:L4:3 | LOWER:L5:3 | LOWER:L6:1 | LOWER:L5:2 | LOWER:L6:2 | LOWER:L5:4,4 | 5 | 6 | 5 | 6 | 5,BNBNBN
LOWER,LOWER_C00116,6,LOWER:L4:7 | LOWER:L5:6 | LOWER:L4:8 | LOWER:L5:8 | LOWER:L6:4 | LOWER:L5:7,4 | 5 | 4 | 5 | 6 | 5,BNBNBN
LOWER,LOWER_C00117,8,LOWER:L1:12 | LOWER:L2:12 | LOWER:L3:12 | LOWER:L4:9 | LOWER:L3:13 | LOWER:L2:13 | LOWER:L1:13 | LOWER:P:10,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00118,8,LOWER:L1:12 | LOWER:L2:12 | LOWER:L3:12 | LOWER:L4:9 | LOWER:L3:13 | LOWER:L2:13 | LOWER:L1:13 | LOWER:P:12,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00119,8,LOWER:L1:12 | LOWER:L2:12 | LOWER:L3:13 | LOWER:L4:9 | LOWER:L3:12 | LOWER:L2:13 | LOWER:L1:13 | LOWER:P:10,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00120,8,LOWER:L1:12 | LOWER:L2:12 | LOWER:L3:13 | LOWER:L4:9 | LOWER:L3:12 | LOWER:L2:13 | LOWER:L1:13 | LOWER:P:12,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00121,8,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:16 | LOWER:L4:12 | LOWER:L3:17 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:18,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00122,8,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:16 | LOWER:L4:12 | LOWER:L3:17 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:20,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00123,8,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:17 | LOWER:L4:12 | LOWER:L3:16 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:18,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00124,8,LOWER:L1:16 | LOWER:L2:16 | LOWER:L3:17 | LOWER:L4:12 | LOWER:L3:16 | LOWER:L2:17 | LOWER:L1:17 | LOWER:P:20,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00125,8,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:20 | LOWER:L4:15 | LOWER:L3:21 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:26,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00126,8,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:20 | LOWER:L4:15 | LOWER:L3:21 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:28,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00127,8,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:21 | LOWER:L4:15 | LOWER:L3:20 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:26,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00128,8,LOWER:L1:20 | LOWER:L2:20 | LOWER:L3:21 | LOWER:L4:15 | LOWER:L3:20 | LOWER:L2:21 | LOWER:L1:21 | LOWER:P:28,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00129,8,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:8 | LOWER:L4:6 | LOWER:L3:9 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:2,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00130,8,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:8 | LOWER:L4:6 | LOWER:L3:9 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:4,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00131,8,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:9 | LOWER:L4:6 | LOWER:L3:8 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:2,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00132,8,LOWER:L1:8 | LOWER:L2:8 | LOWER:L3:9 | LOWER:L4:6 | LOWER:L3:8 | LOWER:L2:9 | LOWER:L1:9 | LOWER:P:4,1 | 2 | 3 | 4 | 3 | 2 | 1 | 0,NBNBNBNB
LOWER,LOWER_C00133,8,LOWER:L2:0 | LOWER:L3:0 | LOWER:L4:0 | LOWER:L5:1 | LOWER:L6:0 | LOWER:L5:0 | LOWER:L4:1 | LOWER:L3:1,2 | 3 | 4 | 5 | 6 | 5 | 4 | 3,BNBNBNBN
