lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0091:0,H4:UPPER:0151:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:2,BR4:UPPER:09:2,UNIQUE,0.28997480987631363,2.848429999664977,4.6458034034150275,1.6899215598009139,2.6254844276027454,4.62481553858513,8.258400387557746,2.597360597658162,4.341242027927079,8.204730054923036,
H4:LOWER:0092:0,H4:UPPER:0152:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:3,BR4:UPPER:09:3,UNIQUE,0.2655174922333097,2.8728247073468407,4.860186377123163,1.8565688107406386,2.80970143626972,4.612099333768992,8.412408041824605,2.5542125807998146,4.552203185846666,8.371942811359299,
H4:LOWER:0093:0,H4:UPPER:0153:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:4,BR4:UPPER:09:4,UNIQUE,0.31416523793316253,3.0574066360228254,4.867674986866598,1.6628139854412902,3.0410479205006706,4.603139603725608,8.211392467033772,2.7287958552619096,4.616409499219867,8.179418190602544,
H4:LOWER:0094:0,H4:UPPER:0154:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:1,BR4:UPPER:10:1,UNIQUE,0.3028255967697288,2.3642369011822204,4.12418953980924,1.88698752091865,2.423602784869149,3.921267203313771,8.24188571796309,2.294370326670551,3.6959900152431002,8.397617867315308,
H4:LOWER:0095:0,H4:UPPER:0155:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:2,BR4:UPPER:10:2,UNIQUE,0.639945585697753,2.4207976750523903,3.9293012052530596,1.6861892894889259,2.410499466337257,4.16264417226581,8.111372506665779,2.4088528174605317,3.5284314490150894,8.196823445036413,
H4:LOWER:0096:0,H4:UPPER:0156:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:3,BR4:UPPER:10:3,UNIQUE,0.8675467076370476,2.279872330621095,3.804143065669035,1.880584281209613,2.4511967890450603,4.2207589352376615,8.348673429445604,2.3117535936482754,3.365492392880128,8.390050073983367,
H4:LOWER:0097:0,H4:UPPER:0157:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:4,BR4:UPPER:10:4,UNIQUE,1.1901109728028105,2.365361304953863,3.6467211265780533,1.6689727548257975,2.6275062470834123,4.402003577835835,8.372647979869654,2.4424092065631786,3.2424825808524664,8.17870399122603,
H4:LOWER:0098:0,H4:UPPER:0158:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:1,BR4:UPPER:11:1,UNIQUE,0.40802637407506254,2.341969306739651,3.5583305815727546,1.969062284131141,2.4308024900993117,3.4792242266756843,8.237841422801331,2.445411739894795,3.1500240557060266,8.478464238001395,
H4:LOWER:0099:0,H4:UPPER:0159:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:2,BR4:UPPER:11:2,UNIQUE,0.3108423155834535,2.2723524959556336,3.4024240672417907,1.7659975681962479,2.399550174700417,3.2490531594656464,8.119680373854205,2.427854544772252,2.981086168941343,8.274649724957795,
H4:LOWER:0100:0,H4:UPPER:0160:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:3,BR4:UPPER:11:3,UNIQUE,0.4095789080113727,2.4449756303066867,3.202122161368375,1.6989578096755402,2.456878942812955,3.170092552921199,8.35732926064179,2.653753500690013,2.8432836640322723,8.208362014269689,
H4:LOWER:0101:0,H4:UPPER:0161:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:4,BR4:UPPER:11:4,UNIQUE,0.28995395645371463,2.61571049163789,3.396096088984539,1.6147989497937625,2.631814502174166,2.9963219292219128,8.373030218182615,2.7576106643196843,3.0804313063239457,8.125695960272132,
H4:LOWER:0102:0,H4:UPPER:0162:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:1,BR4:UPPER:12:1,UNIQUE,0.4808791189213678,2.500903591475251,3.0105533436359244,1.9430144260635065,2.5992183073829596,2.8945687320836817,8.056535589457738,2.7640992251379704,2.676993206623801,8.452414233357246,
H4:LOWER:0103:0,H4:UPPER:0163:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:2,BR4:UPPER:12:2,UNIQUE,0.22779435784408814,2.4844962787952416,2.9400323445351493,1.6965224030479849,2.6186863029317995,2.758623170349266,8.277840833529561,2.7713963594237816,2.605771812079822,8.205685650853594,
H4:LOWER:0104:0,H4:UPPER:0164:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:3,BR4:UPPER:12:3,UNIQUE,0.3946582631649896,2.6478581700762027,3.013867103919466,1.5081123296362815,2.831788985702629,2.798603807504509,8.399475068404218,2.905492104873528,2.726661433126877,8.018493061377908,
H4:LOWER:0105:0,H4:UPPER:0165:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:4,BR4:UPPER:12:4,UNIQUE,0.22151506482154926,2.8054489903794537,3.2167447837177114,1.5547113618709578,3.0426239570001474,2.794094006812713,8.1948780335471,2.9933740561644626,2.9677767119539302,8.06651258202139,
H4:LOWER:0106:0,H4:UPPER:0166:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:1,BR4:UPPER:13:1,UNIQUE,0.393507347541019,2.927938985694758,2.552402852786782,1.9264626529954567,3.064311729230217,2.4680809201128318,8.146680177496624,3.310680413976126,2.3711007124482553,8.43779071160124,
H4:LOWER:0107:0,H4:UPPER:0167:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:2,BR4:UPPER:13:2,UNIQUE,0.25230018104040974,2.7647724107270837,2.681818570574262,1.7784956005150057,2.8728989564281937,2.5052660928608343,8.314027073919648,3.116640893794691,2.4451074439192553,8.289003359579569,
