end,bridge_atoms_per_attachment,seed_element,bridge_element_sequence,required_annulus_element,seed_parity,orientation,rotation_index,chirality,annulus_center_offset_nm,lateral_distance_minimum_nm,lateral_distance_mean_nm,lateral_distance_maximum_nm,bridge_envelope_minimum_nm,bridge_envelope_maximum_nm,gap_feasible,feasible_gap_minimum_nm,feasible_gap_maximum_nm,selected_gap_nm,selected_distance_minimum_nm,selected_distance_maximum_nm,maximum_envelope_violation_nm,mean_envelope_violation_nm,annulus_center_pass,mapping_geometrically_feasible
LOWER,3,N,B-N-B,N,0,-1,10,-1,9.130375608825576e-16,0.17748247220463334,0.3101872944053991,0.4413636718861931,0.11907209712355424,0.5357503498670351,True,0.05,0.30329999999999996,0.17669999999999997,0.2500417909685324,0.47543647175860637,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,11,1,9.661271402326172e-16,0.13182396041920624,1.4329691299939455,2.203786125159805,0.11907209712355424,0.5357503498670351,False,,,0.05,0.1409864710679923,2.204353251390638,1.6686029015236028,0.9451757614234952,True,False
LOWER,3,N,B-N-B,N,0,-1,11,-1,9.045062446579523e-16,0.1778910370782514,0.31015365585311383,0.44112094792421636,0.11907209712355424,0.5357503498670351,True,0.05,0.304,0.177,0.2509023328708321,0.47530556013415964,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,12,1,9.265349453393557e-16,0.07302763298823589,1.4306011898115376,2.2268697618260473,0.11907209712355424,0.5357503498670351,False,,,0.0706,0.10128125189257663,2.2279836774332398,1.6922333275662047,0.9481576772653116,True,False
LOWER,3,N,B-N-B,N,0,-1,12,-1,1.013736221738174e-15,0.17767126322229587,0.3102073857218622,0.44126302698504316,0.11907209712355424,0.5357503498670351,True,0.05,0.30379999999999996,0.1769,0.25107037360555684,0.47540148090142936,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,13,1,1.0668553069238878e-15,0.17826145704694396,1.4705375698095462,2.3086275865993255,0.11907209712355424,0.5357503498670351,False,,,0.05,0.18515239456310018,2.30916367571236,1.773413325845325,0.959497001515152,True,False
LOWER,3,N,B-N-B,N,0,-1,13,-1,9.412195257187375e-16,0.17740920660191473,0.31019282865237846,0.44124578585997176,0.11907209712355424,0.5357503498670351,True,0.05,0.304,0.177,0.25043225141802233,0.47536467863610976,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,0,-1,14,1,9.895503733384761e-16,0.334949346658226,1.469281150911221,2.3248806180135477,0.11907209712355424,0.5357503498670351,False,,,0.05,0.33866065064660406,2.3254304601357405,1.7896801102687054,0.9520248858277537,True,False
LOWER,3,N,B-N-B,N,0,-1,14,-1,9.149942140093403e-16,0.17756260772194768,0.31021653059539295,0.4412445946240304,0.11907209712355424,0.5357503498670351,True,0.05,0.303,0.1765,0.2502106394977795,0.4755012085963086,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,1,1,0,1,9.717387120836265e-16,0.17767962268971435,0.31015807543622714,0.44128835316923987,0.11907209712355424,0.5357503498670351,True,0.05,0.30369999999999997,0.1769,0.2506984297443868,0.475394463828467,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,1,1,0,-1,9.756792266740566e-16,0.07096491020134983,1.431081811810499,2.2485350589573243,0.11907209712355424,0.5357503498670351,False,,,0.0777,0.10562232595853908,2.2498689374388503,1.7141185875718152,0.9523927896051092,True,False
LOWER,3,N,B-N-B,N,1,1,1,1,9.544599945695761e-16,0.17752240789480608,0.31008822764679383,0.4412155122932167,0.11907209712355424,0.5357503498670351,True,0.05,0.3041,0.17709999999999998,0.2507185000620843,0.4753432554547154,0.0,0.0,True,True
LOWER,3,N,B-N-B,N,1,1,1,-1,9.97004128496093e-16,0.33370958083435864,1.4628917867061448,2.3190119235344944,0.11907209712355424,0.5357503498670351,False,,,0.05,0.3374287198157634,2.3195457236181105,1.7837953737510754,0.9503487849755732,True,False
LOWER,3,N,B-N-B,N,1,1,2,1,9.700230347366346e-16,0.17739168945385844,0.31019718947003005,0.44136097929737106,0.11907209712355424,0.5357503498670351,True,0.05,0.30339999999999995,0.17669999999999997,0.2504612813670722,0.47543862291717875,0.0,0.0,True,True
