calculation_type,frame,cluster,job,tracked_root,is_tracked_root,root,hole_orbital,hole_spin,particle_orbital,particle_spin,occupation
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,30,a,75,a,0.00016326
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,29,a,76,a,0.00015993
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,28,a,77,a,0.00012822
vacuum_reference,0,PYR3,frame000_PYR3_vacuum_reference_nto_s1_s2,2,True,2,27,a,78,a,0.00012058
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,52,a,53,a,0.52610185
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,51,a,54,a,0.44476213
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,50,a,55,a,0.01399167
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,49,a,56,a,0.01335698
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,48,a,57,a,0.0004057
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,47,a,58,a,0.00039132
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,46,a,59,a,0.00011921
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,False,1,45,a,60,a,0.00011578
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,52,a,53,a,0.85071095
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,51,a,54,a,0.1237019
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,50,a,55,a,0.0060013
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,49,a,56,a,0.00255232
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,48,a,57,a,0.00249412
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,47,a,58,a,0.00166373
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,46,a,59,a,0.00162017
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,45,a,60,a,0.0014825
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,44,a,61,a,0.00140892
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,43,a,62,a,0.00116447
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,42,a,63,a,0.00116024
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,41,a,64,a,0.00086037
vacuum_reference,0,PYR4,frame000_PYR4_vacuum_reference_nto_s1_s2,2,True,2,40,a,65,a,0.00073139
