radius_nm,lower_energy_kJ_mol,lower_energy_kBT,upper_energy_kJ_mol,upper_energy_kBT
0.273,0.05725990099230759,0.022955943806193865,0.05725990099230759,0.022955943806193865
0.274,0.05916373010452275,0.023719203842610594,0.05916373010452275,0.023719203842610594
0.275,0.0611346863147751,0.024509375659587718,0.0611346863147751,0.024509375659587718
0.276,0.06317523161812616,0.025327446290272403,0.06317523161812616,0.025327446290272403
0.277,0.06528792046396972,0.026174439833479418,0.06528792046396972,0.026174439833479418
0.278,0.06747540326200736,0.027051418859264213,0.06747540326200736,0.027051418859264213
0.279,0.06974043002093289,0.0279594858677001,0.06974043002093289,0.0279594858677001
0.28,0.07208585412478802,0.028899784802848872,0.07208585412478802,0.028899784802848872
0.281,0.07451463625216612,0.029873502624000358,0.07451463625216612,0.029873502624000358
0.28200000000000003,0.07702984844363772,0.030881870936335244,0.07702984844363772,0.030881870936335244
0.28300000000000003,0.0796346783229444,0.03192616768323482,0.0796346783229444,0.03192616768323482
0.28400000000000003,0.08233243347775535,0.03300771890256071,0.08233243347775535,0.03300771890256071
0.28500000000000003,0.08512654600598062,0.034127900549307505,0.08512654600598062,0.034127900549307505
0.28600000000000003,0.08802057723386228,0.03528814038712257,0.08802057723386228,0.03528814038712257
0.28700000000000003,0.09101822261233015,0.03648991995129349,0.09101822261233015,0.03648991995129349
0.28800000000000003,0.09412331679831763,0.03773477658588746,0.09412331679831763,0.03773477658588746
0.289,0.09733983892802367,0.039024305557843426,0.09733983892802367,0.039024305557843426
0.29,0.10067191808938716,0.04036016225093002,0.10067191808938716,0.04036016225093002
0.291,0.10412383900128186,0.04174406444257939,0.10412383900128186,0.04174406444257939
0.292,0.10770004790728453,0.043177794666745095,0.10770004790728453,0.043177794666745095
0.293,0.111405158692156,0.04466320266604741,0.111405158692156,0.04466320266604741
0.294,0.11524395922949378,0.046202207936597066,0.11524395922949378,0.046202207936597066
0.295,0.11922141796939673,0.047796802369041734,0.11922141796939673,0.047796802369041734
0.296,0.12334269077527676,0.04944905298949752,0.12334269077527676,0.04944905298949752
0.297,0.12761312801939112,0.05116110480420353,0.12761312801939112,0.05116110480420353
0.298,0.13203828194701658,0.05293518375187714,0.13203828194701658,0.05293518375187714
0.299,0.1366239143196511,0.05477359976793353,0.1366239143196511,0.05477359976793353
0.3,0.14137600434800135,0.05667874996488266,0.14137600434800135,0.05667874996488266
0.301,0.14630075692603858,0.05865312193342691,0.14630075692603858,0.05865312193342691
0.302,0.15140461117783835,0.0606992971689562,0.15140461117783835,0.0606992971689562
0.303,0.15669424932949147,0.06281995462836677,0.15669424932949147,0.06281995462836677
0.304,0.16217660591883368,0.06501787442231409,0.16217660591883368,0.06501787442231409
0.305,0.16785887735637664,0.06729594164826512,0.16785887735637664,0.06729594164826512
0.306,0.17374853185144506,0.06965715036996464,0.17374853185144506,0.06965715036996464
0.307,0.17985331971803242,0.07210460774913371,0.17985331971803242,0.07210460774913371
0.308,0.1861812840757701,0.07464153833557217,0.1861812840757701,0.07464153833557217
0.309,0.19274077196197154,0.07727128852206445,0.19274077196197154,0.07727128852206445
0.31,0.19954044587146286,0.07999733117078812,0.19954044587146286,0.07999733117078812
0.311,0.2065892957419333,0.08282327041833511,0.2065892957419333,0.08282327041833511
0.312,0.21389665140308023,0.08575284666667156,0.21389665140308023,0.08575284666667156
0.313,0.22147219550907296,0.08878994176786419,0.22147219550907296,0.08878994176786419
0.314,0.22932597697464135,0.0919385844107136,0.22932597697464135,0.0919385844107136
0.315,0.23746842493613418,0.09520295571785221,0.23746842493613418,0.09520295571785221
0.316,0.24591036326020294,0.09858739506238953,0.24591036326020294,0.09858739506238953
0.317,0.2546630256237939,0.10209640611359926,0.2546630256237939,0.10209640611359926
0.318,0.2637380711903846,0.10573466312164564,0.2637380711903846,0.10573466312164564
0.319,0.27314760090906476,0.10950701745201291,0.27314760090906476,0.10950701745201291
0.32,0.282904174464102,0.11341850438071928,0.282904174464102,0.11341850438071928
0.321,0.29302082790465833,0.11747435016220864,0.29302082790465833,0.11747435016220864
0.322,0.30351109198575454,0.12167997938238717,0.30351109198575454,0.12167997938238717
0.323,0.3143890112534043,0.12604102261000344,0.3143890112534043,0.12604102261000344
0.324,0.32566916390905454,0.13056332436045848,0.32566916390905454,0.13056332436045848
0.325,0.3373666824903682,0.13525295138689397,0.3373666824903682,0.13525295138689397
0.326,0.34949727540763514,0.14011620131430833,0.34949727540763514,0.14011620131430833
0.327,0.3620772493779355,0.14515961163358904,0.3620772493779355,0.14515961163358904
0.328,0.37512353280128036,0.1503899690731909,0.37512353280128036,0.1503899690731909
0.329,0.38865370012640604,0.15581431936757428,0.38865370012640604,0.15581431936757428
0.33,0.4026859972566522,0.16143997744262092,0.4026859972566522,0.16143997744262092
0.331,0.4172393680497073,0.1672745380395901,0.4172393680497073,0.1672745380395901
0.332,0.43233348196896726,0.1733258868007654,0.43233348196896726,0.1733258868007654
0.333,0.44798876294790146,0.17960221184140546,0.44798876294790146,0.17960221184140546
0.334,0.46422641953302407,0.18611201583429787,0.46422641953302407,0.18611201583429787
0.335,0.4810684763762024,0.19286412863527294,0.4810684763762024,0.19286412863527294
0.336,0.4985378071512902,0.1998677204797402,0.4985378071512902,0.1998677204797402
0.337,0.5166581689762708,0.20713231578279595,0.5166581689762708,0.20713231578279595
0.338,0.5354542384275436,0.21466780757763332,0.5354542384275436,0.21466780757763332
0.339,0.5549516492393599,0.22248447262954218,0.5549516492393599,0.22248447262954218
0.34,0.5751770317888214,0.2305929872657548,0.5751770317888214,0.2305929872657548
0.341,0.5961580544740125,0.23900444396426412,0.5961580544740125,0.23900444396426412
0.342,0.617923467100989,0.24773036874800797,0.617923467100989,0.24773036874800797
0.343,0.6405031464049316,0.25678273943465685,0.6405031464049316,0.25678273943465685
0.34400000000000003,0.6639281438394895,0.2661740047957372,0.6639281438394895,0.2661740047957372
0.34500000000000003,0.6882307357799219,0.2759171046834645,0.6882307357799219,0.2759171046834645
0.34600000000000003,0.7134444762965148,0.2860254911880205,0.7134444762965148,0.2860254911880205
0.34700000000000003,0.7396042526672217,0.29651315089300717,0.7396042526672217,0.29651315089300717
