atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1426,N1426,1.20830,1.26580,0.05751
1427,B1427,1.20737,1.22807,0.02070
1428,N1428,1.20876,1.24439,0.03563
1429,B1429,1.20700,1.21507,0.00807
1430,N1430,1.20791,1.22370,0.01579
1431,B1431,1.20825,1.22611,0.01786
1432,N1432,1.20825,1.22470,0.01645
1433,B1433,1.20874,1.23515,0.02642
1434,N1434,1.20874,1.22892,0.02019
1435,B1435,1.20815,1.25716,0.04901
1436,N1436,1.20815,1.25129,0.04314
1437,B1437,1.20681,1.27712,0.07032
1438,N1438,1.20813,1.27891,0.07078
1439,B1439,1.20768,1.29975,0.09207
1440,N1440,1.20768,1.29949,0.09182
1441,B1441,1.20699,1.29599,0.08900
1442,N1442,1.20640,1.29972,0.09332
1443,B1443,1.20748,1.27117,0.06369
1444,N1444,1.20657,1.26555,0.05898
1445,B1445,1.20660,1.23933,0.03272
1446,N1446,1.20563,1.22344,0.01781
1447,B1447,1.20727,1.20244,-0.00482
1448,N1448,1.20527,1.18350,-0.02176
1449,B1449,1.20671,1.19309,-0.01362
1450,N1450,1.20553,1.17858,-0.02695
1451,B1451,1.20770,1.18987,-0.01783
1452,N1452,1.20638,1.17831,-0.02807
1453,B1453,1.20671,1.16716,-0.03955
1454,N1454,1.20590,1.16135,-0.04455
1455,B1455,1.20696,1.14507,-0.06189
1456,N1456,1.20622,1.14375,-0.06247
1457,B1457,1.20686,1.11609,-0.09077
1458,N1458,1.20686,1.11386,-0.09300
1459,B1459,1.20710,1.08906,-0.11805
1460,N1460,1.20615,1.08755,-0.11860
1461,B1461,1.20788,1.07626,-0.13162
1462,N1462,1.20589,1.06610,-0.13979
1463,B1463,1.20793,1.06512,-0.14281
1464,N1464,1.20594,1.05336,-0.15259
1465,B1465,1.20756,1.07160,-0.13596
