lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_method
H4:LOWER:0093:0,H4:UPPER:0153:0,BRIDGE_PASSIVANT_H,BR4:LOWER:09:4,BR4:UPPER:09:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0094:0,H4:UPPER:0154:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:1,BR4:UPPER:10:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0095:0,H4:UPPER:0155:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:2,BR4:UPPER:10:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0096:0,H4:UPPER:0156:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:3,BR4:UPPER:10:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0097:0,H4:UPPER:0157:0,BRIDGE_PASSIVANT_H,BR4:LOWER:10:4,BR4:UPPER:10:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0098:0,H4:UPPER:0158:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:1,BR4:UPPER:11:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0099:0,H4:UPPER:0159:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:2,BR4:UPPER:11:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0100:0,H4:UPPER:0160:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:3,BR4:UPPER:11:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0101:0,H4:UPPER:0161:0,BRIDGE_PASSIVANT_H,BR4:LOWER:11:4,BR4:UPPER:11:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0102:0,H4:UPPER:0162:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:1,BR4:UPPER:12:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0103:0,H4:UPPER:0163:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:2,BR4:UPPER:12:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0104:0,H4:UPPER:0164:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:3,BR4:UPPER:12:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0105:0,H4:UPPER:0165:0,BRIDGE_PASSIVANT_H,BR4:LOWER:12:4,BR4:UPPER:12:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0106:0,H4:UPPER:0166:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:1,BR4:UPPER:13:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0107:0,H4:UPPER:0167:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:2,BR4:UPPER:13:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0108:0,H4:UPPER:0168:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:3,BR4:UPPER:13:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0109:0,H4:UPPER:0169:0,BRIDGE_PASSIVANT_H,BR4:LOWER:13:4,BR4:UPPER:13:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0110:0,H4:UPPER:0170:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:1,BR4:UPPER:14:1,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0111:0,H4:UPPER:0171:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:2,BR4:UPPER:14:2,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0112:0,H4:UPPER:0172:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:3,BR4:UPPER:14:3,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0113:0,H4:UPPER:0173:0,BRIDGE_PASSIVANT_H,BR4:LOWER:14:4,BR4:UPPER:14:4,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0174:0,H4:UPPER:0189:0,SEED_PASSIVANT_H,S:1681,S:1711,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0175:0,H4:UPPER:0190:0,SEED_PASSIVANT_H,S:1683,S:1713,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0176:0,H4:UPPER:0191:0,SEED_PASSIVANT_H,S:1685,S:1715,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0177:0,H4:UPPER:0192:0,SEED_PASSIVANT_H,S:1687,S:1717,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0178:0,H4:UPPER:0193:0,SEED_PASSIVANT_H,S:1689,S:1719,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0179:0,H4:UPPER:0194:0,SEED_PASSIVANT_H,S:1691,S:1721,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0180:0,H4:UPPER:0195:0,SEED_PASSIVANT_H,S:1693,S:1723,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0181:0,H4:UPPER:0196:0,SEED_PASSIVANT_H,S:1695,S:1725,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0182:0,H4:UPPER:0197:0,SEED_PASSIVANT_H,S:1697,S:1727,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0183:0,H4:UPPER:0198:0,SEED_PASSIVANT_H,S:1699,S:1729,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0184:0,H4:UPPER:0199:0,SEED_PASSIVANT_H,S:1701,S:1731,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0185:0,H4:UPPER:0200:0,SEED_PASSIVANT_H,S:1703,S:1733,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0186:0,H4:UPPER:0201:0,SEED_PASSIVANT_H,S:1705,S:1735,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0187:0,H4:UPPER:0202:0,SEED_PASSIVANT_H,S:1707,S:1737,ATTACHED_HEAVY_PAIR_AND_ROLE
H4:LOWER:0188:0,H4:UPPER:0203:0,SEED_PASSIVANT_H,S:1709,S:1739,ATTACHED_HEAVY_PAIR_AND_ROLE
