end,mapping_id,fit_mode,seed_parity,orientation,rotation_index,chirality,linear_determinant,singular_value_minimum,singular_value_maximum,maximum_principal_strain,affine_anisotropy,annulus_center_offset_nm,optimal_axial_gap_nm,lateral_residual_mean_nm,lateral_residual_minimum_nm,lateral_residual_maximum_nm,attachment_bond_mean_nm,attachment_bond_minimum_nm,attachment_bond_maximum_nm,attachment_RMS_deviation_nm,attachment_maximum_deviation_nm,annulus_bond_count,annulus_bond_mean_nm,annulus_bond_minimum_nm,annulus_bond_maximum_nm,annulus_bond_maximum_deviation_nm,attachment_thresholds_pass,annulus_strain_thresholds_pass,annulus_center_threshold_pass,positive_axial_gap_pass,local_preoptimization_pass,similarity_scale
LOWER,LOWER:P0:O1:R4,RIGID,0,1,4,-1,-0.9999999999999994,0.9999999999999994,1.0,5.551115123125783e-16,1.0000000000000007,1.0934195269425834e-15,1e-05,1.4705375698095446,0.17826145704681326,2.3086275865990835,1.4705376138542372,0.17826146480818245,2.3086275985723437,1.4740151640587558,2.163654598572344,168,0.14497299999999994,0.14497299999999977,0.14497300000000013,2.220446049250313e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R4,SIMILARITY,0,1,4,-1,-7.217716828862495e-10,2.6865808807594973e-05,2.6865808807594983e-05,0.9999731341911924,1.0000000000000004,9.418528678281235e-16,0.0,1.1925592552110638,1.1922340092412367,1.1929126773066012,1.1925593145770428,1.192234034440186,1.1929127024912145,1.0475863303661475,1.0479397024912145,168,3.894816900263466e-06,3.894816900263463e-06,3.89481690026347e-06,0.14496910518309972,False,False,True,False,False,2.6865808807594983e-05
LOWER,LOWER:P0:O1:R4,AFFINE,0,1,4,0,1.1413635266454738,1.068319298768594,1.06837303038621,0.06837303038621001,1.0000502954666062,1.0567023128670116e-15,5e-05,0.28918618272604696,0.1080646921184004,0.4521188516930016,0.2891864948715854,0.10806486827952086,0.4521188641628458,0.2000342249044451,0.30714586416284584,168,0.15488134854176586,0.15487936332580157,0.15488524308775994,0.009912243087759953,False,False,True,True,False,
LOWER,LOWER:P0:O1:R5,RIGID,0,1,5,1,0.9999999999999994,0.9999999999999996,0.9999999999999999,4.440892098500626e-16,1.0000000000000004,1.0204224885833317e-15,0.00011,0.3102073857218623,0.177671263222296,0.4412630269850427,0.3102077756284416,0.17767473879552004,0.4412630406246561,0.19832843724110852,0.29629004062465614,168,0.14497299999999994,0.1449729999999997,0.14497300000000013,2.7755575615628914e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R5,SIMILARITY,0,1,5,1,1.1413488708180008,1.0683393050983383,1.0683393050983385,0.06833930509833852,1.0000000000000002,1.0330107213001756e-15,0.00035000000000000005,0.2891911931928613,0.10831980335431213,0.4521642297621255,0.2891922561610079,0.10832823206870303,0.45216436500098534,0.2000726959395108,0.3071913650009853,168,0.15488035407802142,0.15488035407802123,0.1548803540780216,0.009907354078021596,False,False,True,True,False,1.0683393050983387
LOWER,LOWER:P0:O1:R5,RIGID,0,1,5,-1,-0.9999999999999994,0.9999999999999994,0.9999999999999998,5.551115123125783e-16,1.0000000000000004,9.869203793132043e-16,0.0,1.4306011898115554,0.07302763298864583,2.2268697618258386,1.4306013302022105,0.07302885617971656,2.226869767303127,1.4779434469570234,2.0818967673031272,168,0.14497299999999994,0.14497299999999974,0.1449730000000002,2.498001805406602e-16,False,True,True,False,False,
LOWER,LOWER:P0:O1:R5,SIMILARITY,0,1,5,-1,-3.8475052006250454e-10,1.961505850265312e-05,1.9615058502653122e-05,0.9999803849414973,1.0000000000000002,9.418523587386535e-16,0.0,1.1925592552926798,1.1922032002673424,1.1928629139330014,1.192559314659422,1.192203225466943,1.1928629391186654,1.047586330540688,1.0478899391186653,168,2.843653876305131e-06,2.8436538763051275e-06,2.8436538763051343e-06,0.14497015634612367,False,False,True,False,False,1.961505850265313e-05
LOWER,LOWER:P0:O1:R5,AFFINE,0,1,5,0,1.1413488704332513,1.0683196900398366,1.0683589201568413,0.06835892015684131,1.0000367213273054,8.414311599096575e-16,0.00035000000000000005,0.2891911948004474,0.10831377284736085,0.45214641327928506,0.2891922578059015,0.10832220203099462,0.4521465485234739,0.20007269363614671,0.3071735485234739,168,0.15488035409107398,0.1548775757623189,0.15488226812404018,0.009909268124040194,False,False,True,True,False,
LOWER,LOWER:P0:O1:R6,RIGID,0,1,6,1,0.9999999999999994,0.9999999999999997,0.9999999999999998,3.3306690738754696e-16,1.0000000000000002,9.307250027914192e-16,2e-05,0.3101536558531139,0.17789103707825174,0.4411209479242166,0.31015393366234484,0.17789103782362764,0.4411209482248047,0.19819666938005964,0.2961479482248047,168,0.14497299999999994,0.14497299999999982,0.1449730000000001,1.6653345369377348e-16,False,True,True,True,False,
LOWER,LOWER:P0:O1:R6,SIMILARITY,0,1,6,1,1.1414115784757621,1.0683686528889558,1.068368652888956,0.068368652888956,1.0000000000000002,9.24980234148712e-16,3.0000000000000004e-05,0.2891408974123967,0.1085098055885307,0.45200754781528063,0.2891412161926089,0.10850980877204638,0.4520075485795216,0.19992817292711396,0.3070345485795216,168,0.1548846087152706,0.1548846087152704,0.1548846087152708,0.009911608715270803,False,False,True,True,False,1.0683686528889562
