frame,time_ps,site,root,family,is_bright_root,energy_eV,fosc,D2_au2,DX_raw_au,DY_raw_au,DZ_raw_au,dipole_magnitude_au,reference_frame,gauge_sign_factor,raw_cosine_to_reference,aligned_cosine_to_reference,DX_aligned_au,DY_aligned_au,DZ_aligned_au
11,55.0,PYR3,2,bright_like,True,4.071,0.504426624,5.05745,2.23464,-0.23292,-0.09784,2.248877497775279,0,-1,-0.9999549382695431,0.9999549382695431,-2.23464,0.23292,0.09784
11,55.0,PYR4,1,alternate_like,False,4.016,0.004866256,0.04946,-0.01282,-0.09524,-0.20055,0.22239604313026795,0,1,0.07356637178507099,0.07356637178507099,-0.01282,-0.09524,-0.20055
11,55.0,PYR4,2,bright_like,True,4.09,0.518575837,5.1757,0.2346,2.25961,-0.12176,2.2750164834567683,0,1,0.9999405955104618,0.9999405955104618,0.2346,2.25961,-0.12176
11,55.0,PYR5,2,alternate_like,False,3.854,0.009241939,0.09788,0.17167,-0.02269,-0.26058,0.3128577951721836,0,1,0.9278806412901024,0.9278806412901024,0.17167,-0.02269,-0.26058
11,55.0,PYR5,1,bright_like,True,3.787,0.659752246,7.11112,-2.64953,0.26481,-0.14484,2.6666683333328125,0,1,0.9999728659458668,0.9999728659458668,-2.64953,0.26481,-0.14484
12,60.0,PYR2,1,alternate_like,False,3.992,0.003766033,0.0385,0.01405,0.10043,-0.16799,0.19621416870348585,0,-1,-0.3476079473572665,0.3476079473572665,-0.01405,-0.10043,0.16799
12,60.0,PYR2,2,bright_like,True,4.079,0.505777416,5.06059,0.22558,2.23815,0.02008,2.2495755155139827,0,1,0.9999489516444221,0.9999489516444221,0.22558,2.23815,0.02008
12,60.0,PYR3,1,alternate_like,False,4.012,0.001832472,0.01864,-0.04309,0.0084,-0.12929,0.1365283853270081,0,1,0.011737996333574531,0.011737996333574531,-0.04309,0.0084,-0.12929
12,60.0,PYR3,2,bright_like,True,4.086,0.511610394,5.11062,2.24669,-0.24121,-0.06931,2.260668042858128,0,-1,-0.9999919386526926,0.9999919386526926,-2.24669,0.24121,0.06931
12,60.0,PYR4,1,alternate_like,False,4.035,0.008868421,0.08972,-0.02611,-0.25593,0.15342,0.29953296980466104,0,1,0.9864633625983746,0.9864633625983746,-0.02611,-0.25593,0.15342
12,60.0,PYR4,2,bright_like,True,4.104,0.513306446,5.10475,0.2405,2.24467,-0.09157,2.2593693810441886,0,1,0.9999960311504857,0.9999960311504857,0.2405,2.24467,-0.09157
12,60.0,PYR5,2,alternate_like,False,3.87,0.014434251,0.15226,0.31142,-0.03324,-0.23274,0.39020507428786727,0,1,0.9993229924111797,0.9993229924111797,0.31142,-0.03324,-0.23274
12,60.0,PYR5,1,bright_like,True,3.797,0.644718639,6.93037,2.61655,-0.25338,0.14077,2.632559590968455,0,-1,-0.9999581548165166,0.9999581548165166,-2.61655,0.25338,-0.14077
13,65.0,PYR2,1,alternate_like,False,4.019,0.002870416,0.02916,-0.0023,-0.04378,-0.16503,0.17076299364909248,0,-1,-0.9156217998313357,0.9156217998313357,0.0023,0.04378,0.16503
13,65.0,PYR2,2,bright_like,True,4.103,0.505300314,5.02634,0.22868,2.23024,0.00805,2.2419500440464772,0,1,0.9999898363251218,0.9999898363251218,0.22868,2.23024,0.00805
13,65.0,PYR3,1,alternate_like,False,4.007,0.020813077,0.21201,-0.43429,0.04777,-0.14536,0.46044543650686776,0,-1,-0.7905520585265817,0.7905520585265817,0.43429,-0.04777,0.14536
13,65.0,PYR3,2,bright_like,True,4.074,0.499481109,5.00393,2.22302,-0.22908,-0.09816,2.2369465796035453,0,-1,-0.9999494944507633,0.9999494944507633,-2.22302,0.22908,0.09816
13,65.0,PYR4,1,alternate_like,False,4.031,0.001159019,0.01174,0.00576,0.03691,-0.10169,0.1083512805646523,0,-1,-0.6627474623980104,0.6627474623980104,-0.00576,-0.03691,0.10169
13,65.0,PYR4,2,bright_like,True,4.102,0.510445336,5.07944,0.2321,2.23899,-0.11169,2.253761300581763,0,1,0.99997528737296,0.99997528737296,0.2321,2.23899,-0.11169
13,65.0,PYR5,2,alternate_like,False,3.836,0.010824666,0.11517,-0.06902,0.00938,0.33214,0.3393670579181191,0,-1,-0.723653414323291,0.723653414323291,0.06902,-0.00938,-0.33214
13,65.0,PYR5,1,bright_like,True,3.783,0.661990456,7.14227,2.65742,-0.26132,0.11008,2.6725025724964233,0,-1,-0.9997878199430043,0.9997878199430043,-2.65742,0.26132,-0.11008
14,70.0,PYR2,1,alternate_like,False,4.007,0.001843934,0.01878,0.00541,0.02758,-0.13413,0.1370401401050072,0,-1,-0.6381149912444896,0.6381149912444896,-0.00541,-0.02758,0.13413
14,70.0,PYR2,2,bright_like,True,4.092,0.504494792,5.03168,-0.23219,-2.23109,0.00288,2.2431406554204307,0,-1,-0.9999997264526768,0.9999997264526768,0.23219,2.23109,-0.00288
14,70.0,PYR3,1,alternate_like,False,4.014,0.010112929,0.10283,-0.29008,0.02987,0.13337,0.32067117113953353,0,-1,-0.995855476057362,0.995855476057362,0.29008,-0.02987,-0.13337
14,70.0,PYR3,2,bright_like,True,4.096,0.500472478,4.98746,2.2201,-0.2317,-0.0702,2.233262187921517,0,-1,-0.999996160244956,0.999996160244956,-2.2201,0.2317,0.0702
14,70.0,PYR4,1,alternate_like,False,3.978,0.005349326,0.05488,0.00452,0.03041,0.23225,0.23426480742954114,0,1,0.23919523305364404,0.23919523305364404,0.00452,0.03041,0.23225
14,70.0,PYR4,2,bright_like,True,4.069,0.50755834,5.09119,-0.23337,-2.24104,0.12033,2.2563665482363455,0,-1,-0.9999430721486018,0.9999430721486018,0.23337,2.24104,-0.12033
14,70.0,PYR5,2,alternate_like,False,3.843,0.037666572,0.40003,0.58004,-0.05816,-0.24536,0.6324792486714486,0,1,0.979212700719598,0.979212700719598,0.58004,-0.05816,-0.24536
14,70.0,PYR5,1,bright_like,True,3.785,0.634868449,6.84574,2.59714,-0.25305,0.19118,2.616436507924471,0,-1,-0.9999271730907886,0.9999271730907886,-2.59714,0.25305,-0.19118
15,75.0,PYR2,1,alternate_like,False,4.009,0.00869891,0.08857,-0.03435,-0.28648,0.07291,0.2976071235706565,0,-1,-0.41256134100367686,0.41256134100367686,0.03435,0.28648,-0.07291
15,75.0,PYR2,2,bright_like,True,4.099,0.488877754,4.86787,-0.23168,-2.19408,-0.01386,2.206324998725256,0,-1,-0.999972628665154,0.999972628665154,0.23168,2.19408,0.01386
15,75.0,PYR3,1,alternate_like,False,4.007,0.013687733,0.13942,-0.27259,0.0264,0.2538,0.373389876670485,0,-1,-0.9172987373840471,0.9172987373840471,0.27259,-0.0264,-0.2538
15,75.0,PYR3,2,bright_like,True,4.087,0.510482168,5.09864,2.24526,-0.23743,-0.03248,2.258016828989545,0,-1,-0.9998059764545806,0.9998059764545806,-2.24526,0.23743,0.03248
15,75.0,PYR4,1,alternate_like,False,4.026,0.01826039,0.18513,-0.04428,-0.41502,-0.10453,0.4302673587433748,0,1,0.8147905018227917,0.8147905018227917,-0.04428,-0.41502,-0.10453
15,75.0,PYR4,2,bright_like,True,4.095,0.498507322,4.96891,0.23295,2.21209,-0.14597,2.2291052016448214,0,1,0.9997406514183156,0.9997406514183156,0.23295,2.21209,-0.14597
