atom_i_1based,atom_j_1based,element_i,element_j,distance_nm,in_explicit_topology,in_geometry_graph,classification
282,339,N,B,0.1446409347314931,True,True,MATCHED
282,341,N,B,0.14442298985964805,True,True,MATCHED
283,284,B,N,0.14500000000000002,True,True,MATCHED
284,341,N,B,0.14528936643815327,True,True,MATCHED
284,343,N,B,0.1446409347314931,True,True,MATCHED
285,286,B,N,0.14500000000000002,True,True,MATCHED
286,343,N,B,0.14461673485458001,True,True,MATCHED
286,345,N,B,0.14456140563788109,True,True,MATCHED
287,288,B,N,0.14500000000000002,True,True,MATCHED
288,345,N,B,0.14483438818181277,True,True,MATCHED
288,347,N,B,0.1443364125922496,True,True,MATCHED
289,290,B,N,0.14500000000000002,True,True,MATCHED
290,347,N,B,0.14501379244747725,True,True,MATCHED
290,349,N,B,0.14439182802361086,True,True,MATCHED
291,292,B,N,0.14500000000000002,True,True,MATCHED
292,349,N,B,0.14433987668000817,True,True,MATCHED
292,351,N,B,0.1455369368923229,True,True,MATCHED
293,294,B,N,0.14500000000000002,True,True,MATCHED
294,351,N,B,0.14483438818181293,True,True,MATCHED
294,353,N,B,0.14456140563788109,True,True,MATCHED
295,296,B,N,0.14500000000000002,True,True,MATCHED
296,353,N,B,0.14439182802361084,True,True,MATCHED
296,355,N,B,0.14477568856683093,True,True,MATCHED
297,298,B,N,0.14500000000000002,True,True,MATCHED
298,355,N,B,0.1443779761598008,True,True,MATCHED
298,357,N,B,0.1452446212429224,True,True,MATCHED
299,300,B,N,0.14500000000000002,True,True,MATCHED
300,357,N,B,0.14477568856683093,True,True,MATCHED
300,359,N,B,0.14439182802361047,True,True,MATCHED
301,302,B,N,0.14500000000000002,True,True,MATCHED
302,361,N,B,0.14531001341958535,True,True,MATCHED
302,419,N,B,0.14533409785731655,True,True,MATCHED
303,304,B,N,0.14500000000000002,True,True,MATCHED
304,361,N,B,0.14551288602732038,True,True,MATCHED
304,363,N,B,0.14428097587693264,True,True,MATCHED
305,306,B,N,0.14500000000000002,True,True,MATCHED
306,363,N,B,0.14551288602732038,True,True,MATCHED
306,365,N,B,0.14531001341958535,True,True,MATCHED
307,308,B,N,0.14500000000000002,True,True,MATCHED
308,365,N,B,0.14533409785731655,True,True,MATCHED
308,367,N,B,0.1450620556865233,True,True,MATCHED
309,310,B,N,0.14500000000000002,True,True,MATCHED
310,367,N,B,0.14489306401619054,True,True,MATCHED
310,369,N,B,0.14527560015363902,True,True,MATCHED
311,312,B,N,0.14500000000000002,True,True,MATCHED
312,369,N,B,0.14574292435655314,True,True,MATCHED
312,371,N,B,0.14487926007541588,True,True,MATCHED
313,314,B,N,0.14500000000000002,True,True,MATCHED
314,371,N,B,0.14527560015363902,True,True,MATCHED
314,373,N,B,0.1448930640161909,True,True,MATCHED
315,316,B,N,0.14500000000000002,True,True,MATCHED
316,373,N,B,0.1450620556865233,True,True,MATCHED
316,375,N,B,0.14533409785731655,True,True,MATCHED
317,318,B,N,0.14500000000000002,True,True,MATCHED
318,375,N,B,0.1460342425597502,True,True,MATCHED
318,377,N,B,0.14484129245487956,True,True,MATCHED
319,320,B,N,0.14500000000000002,True,True,MATCHED
320,377,N,B,0.14489306401619093,True,True,MATCHED
320,379,N,B,0.1455128860273206,True,True,MATCHED
321,322,B,N,0.14500000000000002,True,True,MATCHED
322,379,N,B,0.1448378403594865,True,True,MATCHED
322,381,N,B,0.14533409785731635,True,True,MATCHED
323,324,B,N,0.14500000000000002,True,True,MATCHED
324,381,N,B,0.1450620556865233,True,True,MATCHED
324,383,N,B,0.14511719401917844,True,True,MATCHED
325,326,B,N,0.14500000000000002,True,True,MATCHED
326,383,N,B,0.14514131045295142,True,True,MATCHED
326,385,N,B,0.1457875166123628,True,True,MATCHED
327,328,B,N,0.14500000000000002,True,True,MATCHED
328,385,N,B,0.1449241180756329,True,True,MATCHED
328,387,N,B,0.14514131045295142,True,True,MATCHED
329,330,B,N,0.14500000000000002,True,True,MATCHED
330,387,N,B,0.1451171940191788,True,True,MATCHED
330,389,N,B,0.1450620556865233,True,True,MATCHED
331,332,B,N,0.14500000000000002,True,True,MATCHED
332,389,N,B,0.14533409785731635,True,True,MATCHED
332,391,N,B,0.1455644187293034,True,True,MATCHED
333,334,B,N,0.14500000000000002,True,True,MATCHED
334,391,N,B,0.14484129245487978,True,True,MATCHED
334,393,N,B,0.14550257729676125,True,True,MATCHED
335,336,B,N,0.14500000000000002,True,True,MATCHED
336,393,N,B,0.14484129245487978,True,True,MATCHED
336,395,N,B,0.1455644187293034,True,True,MATCHED
337,338,B,N,0.14500000000000002,True,True,MATCHED
338,395,N,B,0.14533409785731635,True,True,MATCHED
338,397,N,B,0.1450620556865233,True,True,MATCHED
339,340,B,N,0.14500000000000002,True,True,MATCHED
340,397,N,B,0.1451171940191788,True,True,MATCHED
