requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
TORSION,TORSION_0009,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0010,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0011,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0012,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED -- B|PARENT_HBN -- N|HEXAGONAL_EDGE_COMPLETION_SEED,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0013,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|HEXAGONAL_EDGE_COMPLETION_SEED -- B|PARENT_HBN -- N|PARENT_HBN,30,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0014,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INNER_BOUNDARY -- H|ANNULUS_INNER_PASSIVANT_H,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0015,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0016,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0017,B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0018,B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
