dataset,frame,time_ps,pyrene,cutoff_nm,waterO_count
frozen,74,37.0,2,0.35,5
frozen,74,37.0,2,0.5,24
frozen,74,37.0,3,0.35,5
frozen,74,37.0,3,0.5,28
frozen,74,37.0,4,0.35,5
frozen,74,37.0,4,0.5,29
frozen,75,37.5,1,0.35,3
frozen,75,37.5,1,0.5,26
frozen,75,37.5,2,0.35,4
frozen,75,37.5,2,0.5,25
frozen,75,37.5,3,0.35,5
frozen,75,37.5,3,0.5,29
frozen,75,37.5,4,0.35,4
frozen,75,37.5,4,0.5,27
frozen,76,38.0,1,0.35,5
frozen,76,38.0,1,0.5,26
frozen,76,38.0,2,0.35,4
frozen,76,38.0,2,0.5,27
frozen,76,38.0,3,0.35,3
frozen,76,38.0,3,0.5,30
frozen,76,38.0,4,0.35,7
frozen,76,38.0,4,0.5,29
frozen,77,38.5,1,0.35,2
frozen,77,38.5,1,0.5,23
frozen,77,38.5,2,0.35,6
frozen,77,38.5,2,0.5,27
frozen,77,38.5,3,0.35,4
frozen,77,38.5,3,0.5,31
frozen,77,38.5,4,0.35,4
frozen,77,38.5,4,0.5,24
frozen,78,39.0,1,0.35,4
frozen,78,39.0,1,0.5,24
frozen,78,39.0,2,0.35,7
frozen,78,39.0,2,0.5,24
frozen,78,39.0,3,0.35,4
frozen,78,39.0,3,0.5,30
frozen,78,39.0,4,0.35,2
frozen,78,39.0,4,0.5,22
frozen,79,39.5,1,0.35,5
frozen,79,39.5,1,0.5,24
frozen,79,39.5,2,0.35,5
frozen,79,39.5,2,0.5,25
frozen,79,39.5,3,0.35,6
frozen,79,39.5,3,0.5,26
frozen,79,39.5,4,0.35,6
frozen,79,39.5,4,0.5,20
frozen,80,40.0,1,0.35,4
frozen,80,40.0,1,0.5,24
frozen,80,40.0,2,0.35,2
frozen,80,40.0,2,0.5,24
frozen,80,40.0,3,0.35,4
frozen,80,40.0,3,0.5,27
frozen,80,40.0,4,0.35,6
frozen,80,40.0,4,0.5,23
frozen,81,40.5,1,0.35,4
frozen,81,40.5,1,0.5,28
frozen,81,40.5,2,0.35,6
frozen,81,40.5,2,0.5,25
frozen,81,40.5,3,0.35,7
frozen,81,40.5,3,0.5,29
frozen,81,40.5,4,0.35,4
frozen,81,40.5,4,0.5,20
frozen,82,41.0,1,0.35,3
frozen,82,41.0,1,0.5,25
frozen,82,41.0,2,0.35,6
frozen,82,41.0,2,0.5,23
frozen,82,41.0,3,0.35,4
frozen,82,41.0,3,0.5,28
frozen,82,41.0,4,0.35,5
frozen,82,41.0,4,0.5,28
frozen,83,41.5,1,0.35,6
frozen,83,41.5,1,0.5,26
frozen,83,41.5,2,0.35,4
frozen,83,41.5,2,0.5,25
frozen,83,41.5,3,0.35,2
frozen,83,41.5,3,0.5,27
frozen,83,41.5,4,0.35,4
frozen,83,41.5,4,0.5,27
frozen,84,42.0,1,0.35,3
frozen,84,42.0,1,0.5,26
frozen,84,42.0,2,0.35,7
frozen,84,42.0,2,0.5,29
frozen,84,42.0,3,0.35,4
frozen,84,42.0,3,0.5,25
frozen,84,42.0,4,0.35,6
frozen,84,42.0,4,0.5,27
frozen,85,42.5,1,0.35,4
frozen,85,42.5,1,0.5,27
frozen,85,42.5,2,0.35,4
frozen,85,42.5,2,0.5,26
frozen,85,42.5,3,0.35,3
frozen,85,42.5,3,0.5,26
frozen,85,42.5,4,0.35,3
frozen,85,42.5,4,0.5,23
frozen,86,43.0,1,0.35,4
