atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1653,B1653,1.20526,1.33951,0.13425
1654,N1654,1.23552,1.40565,0.17014
1655,B1655,1.20542,1.36809,0.16268
1656,N1656,1.23557,1.40531,0.16974
1657,B1657,1.20579,1.39800,0.19221
1658,N1658,1.23615,1.47122,0.23506
1659,B1659,1.20527,1.39987,0.19460
1660,N1660,1.23615,1.45622,0.22007
1661,B1661,1.20547,1.38607,0.18059
1662,N1662,1.23520,1.45915,0.22395
1663,B1663,1.20597,1.35131,0.14534
1664,N1664,1.23457,1.39762,0.16305
1665,B1665,1.20568,1.32241,0.11673
1666,N1666,1.23655,1.35311,0.11656
1667,B1667,1.20609,1.29523,0.08914
1668,N1668,1.23570,1.31857,0.08287
1669,B1669,1.20574,1.26966,0.06393
1670,N1670,1.23474,1.33797,0.10324
1671,B1671,1.20620,1.24190,0.03570
1672,N1672,1.23581,1.28987,0.05407
1673,B1673,1.20589,1.23296,0.02707
1674,N1674,1.23635,1.25743,0.02107
1675,B1675,1.20547,1.24949,0.04401
1676,N1676,1.23569,1.25528,0.01959
1677,B1677,1.20512,1.31435,0.10922
1678,N1678,1.23701,1.39079,0.15378
1679,B1679,1.20573,1.29727,0.09155
1680,N1680,1.23574,1.28925,0.05350
