edge_id,end,edge_type,source_node,target_node,source_element,target_element,length_nm,target_length_nm,deviation_nm,absolute_deviation_nm
E:134,PARENT,PARENT_BN,P:89,P:146,N,B,0.14514131045295142,0.144973,0.0001683104529514312,0.0001683104529514312
E:135,PARENT,PARENT_BN,P:89,P:148,N,B,0.1457875166123628,0.144973,0.0008145166123628145,0.0008145166123628145
E:136,PARENT,PARENT_BN,P:90,P:91,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:137,PARENT,PARENT_BN,P:91,P:148,N,B,0.1449241180756329,0.144973,-4.8881924367083496e-05,4.8881924367083496e-05
E:138,PARENT,PARENT_BN,P:91,P:150,N,B,0.14514131045295142,0.144973,0.0001683104529514312,0.0001683104529514312
E:139,PARENT,PARENT_BN,P:92,P:93,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:140,PARENT,PARENT_BN,P:93,P:150,N,B,0.1451171940191788,0.144973,0.00014419401917881158,0.00014419401917881158
E:141,PARENT,PARENT_BN,P:93,P:152,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:142,PARENT,PARENT_BN,P:94,P:95,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:143,PARENT,PARENT_BN,P:95,P:152,N,B,0.14533409785731635,0.144973,0.00036109785731636146,0.00036109785731636146
E:144,PARENT,PARENT_BN,P:95,P:154,N,B,0.1455644187293034,0.144973,0.0005914187293034057,0.0005914187293034057
E:145,PARENT,PARENT_BN,P:96,P:97,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:146,PARENT,PARENT_BN,P:97,P:154,N,B,0.14484129245487978,0.144973,-0.00013170754512020766,0.00013170754512020766
E:147,PARENT,PARENT_BN,P:97,P:156,N,B,0.14550257729676125,0.144973,0.0005295772967612578,0.0005295772967612578
E:148,PARENT,PARENT_BN,P:98,P:99,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:149,PARENT,PARENT_BN,P:99,P:156,N,B,0.14484129245487978,0.144973,-0.00013170754512020766,0.00013170754512020766
E:150,PARENT,PARENT_BN,P:99,P:158,N,B,0.1455644187293034,0.144973,0.0005914187293034057,0.0005914187293034057
E:151,PARENT,PARENT_BN,P:100,P:101,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:152,PARENT,PARENT_BN,P:101,P:158,N,B,0.14533409785731635,0.144973,0.00036109785731636146,0.00036109785731636146
E:153,PARENT,PARENT_BN,P:101,P:160,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:154,PARENT,PARENT_BN,P:102,P:103,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:155,PARENT,PARENT_BN,P:103,P:160,N,B,0.1451171940191788,0.144973,0.00014419401917881158,0.00014419401917881158
E:156,PARENT,PARENT_BN,P:103,P:162,N,B,0.14514131045295142,0.144973,0.0001683104529514312,0.0001683104529514312
E:157,PARENT,PARENT_BN,P:104,P:105,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:158,PARENT,PARENT_BN,P:105,P:162,N,B,0.1449241180756329,0.144973,-4.8881924367083496e-05,4.8881924367083496e-05
E:159,PARENT,PARENT_BN,P:105,P:164,N,B,0.1457875166123628,0.144973,0.0008145166123628145,0.0008145166123628145
E:160,PARENT,PARENT_BN,P:106,P:107,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:161,PARENT,PARENT_BN,P:107,P:164,N,B,0.14514131045295142,0.144973,0.0001683104529514312,0.0001683104529514312
E:162,PARENT,PARENT_BN,P:107,P:166,N,B,0.14511719401917844,0.144973,0.00014419401917845076,0.00014419401917845076
E:163,PARENT,PARENT_BN,P:108,P:109,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:164,PARENT,PARENT_BN,P:109,P:166,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:165,PARENT,PARENT_BN,P:109,P:168,N,B,0.14533409785731635,0.144973,0.00036109785731636146,0.00036109785731636146
E:166,PARENT,PARENT_BN,P:110,P:111,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:167,PARENT,PARENT_BN,P:111,P:168,N,B,0.1448378403594865,0.144973,-0.00013515964051349916,0.00013515964051349916
E:168,PARENT,PARENT_BN,P:111,P:170,N,B,0.1455128860273206,0.144973,0.0005398860273206074,0.0005398860273206074
E:169,PARENT,PARENT_BN,P:112,P:113,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:170,PARENT,PARENT_BN,P:113,P:170,N,B,0.14489306401619093,0.144973,-7.993598380906519e-05,7.993598380906519e-05
E:171,PARENT,PARENT_BN,P:113,P:172,N,B,0.14484129245487956,0.144973,-0.0001317075451204297,0.0001317075451204297
E:172,PARENT,PARENT_BN,P:114,P:115,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:173,PARENT,PARENT_BN,P:115,P:172,N,B,0.1460342425597502,0.144973,0.0010612425597502084,0.0010612425597502084
E:174,PARENT,PARENT_BN,P:115,P:174,N,B,0.14533409785731655,0.144973,0.00036109785731655575,0.00036109785731655575
E:175,PARENT,PARENT_BN,P:116,P:117,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:176,PARENT,PARENT_BN,P:117,P:174,N,B,0.1450620556865233,0.144973,8.905568652331497e-05,8.905568652331497e-05
E:177,PARENT,PARENT_BN,P:117,P:176,N,B,0.1448930640161909,0.144973,-7.993598380909295e-05,7.993598380909295e-05
E:178,PARENT,PARENT_BN,P:118,P:119,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:179,PARENT,PARENT_BN,P:119,P:176,N,B,0.14527560015363902,0.144973,0.00030260015363903214,0.00030260015363903214
E:180,PARENT,PARENT_BN,P:119,P:178,N,B,0.14487926007541588,0.144973,-9.373992458411307e-05,9.373992458411307e-05
E:181,PARENT,PARENT_BN,P:120,P:121,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:182,PARENT,PARENT_BN,P:121,P:180,N,B,0.14439182802361047,0.144973,-0.0005811719763895162,0.0005811719763895162
E:183,PARENT,PARENT_BN,P:121,P:238,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:184,PARENT,PARENT_BN,P:122,P:123,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:185,PARENT,PARENT_BN,P:123,P:180,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:186,PARENT,PARENT_BN,P:123,P:182,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:187,PARENT,PARENT_BN,P:124,P:125,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:188,PARENT,PARENT_BN,P:125,P:182,N,B,0.14481022063376636,0.144973,-0.00016277936623362854,0.00016277936623362854
E:189,PARENT,PARENT_BN,P:125,P:184,N,B,0.145013792447477,0.144973,4.0792447477011606e-05,4.0792447477011606e-05
E:190,PARENT,PARENT_BN,P:126,P:127,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:191,PARENT,PARENT_BN,P:127,P:184,N,B,0.14377760604489156,0.144973,-0.0011953939551084258,0.0011953939551084258
E:192,PARENT,PARENT_BN,P:127,P:186,N,B,0.145013792447477,0.144973,4.0792447477011606e-05,4.0792447477011606e-05
E:193,PARENT,PARENT_BN,P:128,P:129,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:194,PARENT,PARENT_BN,P:129,P:186,N,B,0.14481022063376636,0.144973,-0.00016277936623362854,0.00016277936623362854
E:195,PARENT,PARENT_BN,P:129,P:188,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:196,PARENT,PARENT_BN,P:130,P:131,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:197,PARENT,PARENT_BN,P:131,P:188,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:198,PARENT,PARENT_BN,P:131,P:190,N,B,0.14439182802361047,0.144973,-0.0005811719763895162,0.0005811719763895162
E:199,PARENT,PARENT_BN,P:132,P:133,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:200,PARENT,PARENT_BN,P:133,P:190,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:201,PARENT,PARENT_BN,P:133,P:192,N,B,0.1452446212429224,0.144973,0.0002716212429224041,0.0002716212429224041
E:202,PARENT,PARENT_BN,P:134,P:135,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:203,PARENT,PARENT_BN,P:135,P:192,N,B,0.1443779761598008,0.144973,-0.0005950238401991881,0.0005950238401991881
E:204,PARENT,PARENT_BN,P:135,P:194,N,B,0.14477568856683093,0.144973,-0.00019731143316906175,0.00019731143316906175
E:205,PARENT,PARENT_BN,P:136,P:137,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:206,PARENT,PARENT_BN,P:137,P:194,N,B,0.14439182802361084,0.144973,-0.0005811719763891554,0.0005811719763891554
E:207,PARENT,PARENT_BN,P:137,P:196,N,B,0.14456140563788109,0.144973,-0.00041159436211890554,0.00041159436211890554
E:208,PARENT,PARENT_BN,P:138,P:139,B,N,0.14500000000000002,0.144973,2.7000000000027002e-05,2.7000000000027002e-05
E:209,PARENT,PARENT_BN,P:139,P:196,N,B,0.14483438818181293,0.144973,-0.0001386118181870566,0.0001386118181870566
E:210,PARENT,PARENT_BN,P:139,P:198,N,B,0.1455369368923229,0.144973,0.0005639368923228971,0.0005639368923228971
