model,frame,snapshot_time_ps,initial_state,target_state,population
point_dipole,13,65.0,PYR5_bright,PYR2_bright,1.1750182576819846e-06
point_dipole,13,65.0,PYR5_bright,PYR3_bright,2.5414433052699018e-06
point_dipole,13,65.0,PYR5_bright,PYR4_bright,3.696500617581377e-05
point_dipole,13,65.0,PYR5_bright,PYR5_bright,0.9999593185322616
point_dipole,14,70.0,PYR5_bright,PYR2_bright,1.926052064159998e-07
point_dipole,14,70.0,PYR5_bright,PYR3_bright,1.2711594341487979e-06
point_dipole,14,70.0,PYR5_bright,PYR4_bright,4.910241611565011e-05
point_dipole,14,70.0,PYR5_bright,PYR5_bright,0.9999494338192443
point_dipole,15,75.0,PYR5_bright,PYR2_bright,8.207638955351838e-08
point_dipole,15,75.0,PYR5_bright,PYR3_bright,4.079362083072011e-06
point_dipole,15,75.0,PYR5_bright,PYR4_bright,4.081640453576488e-05
point_dipole,15,75.0,PYR5_bright,PYR5_bright,0.9999550221569905
point_dipole,16,80.0,PYR5_bright,PYR2_bright,7.846876773856583e-08
point_dipole,16,80.0,PYR5_bright,PYR3_bright,3.1015277997301657e-06
point_dipole,16,80.0,PYR5_bright,PYR4_bright,4.250927821576889e-05
point_dipole,16,80.0,PYR5_bright,PYR5_bright,0.9999543107252147
point_dipole,17,85.0,PYR5_bright,PYR2_bright,2.0190605775062385e-06
point_dipole,17,85.0,PYR5_bright,PYR3_bright,3.7150795143055877e-06
point_dipole,17,85.0,PYR5_bright,PYR4_bright,3.054306997084327e-05
point_dipole,17,85.0,PYR5_bright,PYR5_bright,0.9999637227899354
point_dipole,18,90.0,PYR5_bright,PYR2_bright,7.1930118118590085e-06
point_dipole,18,90.0,PYR5_bright,PYR3_bright,3.890425906210825e-06
point_dipole,18,90.0,PYR5_bright,PYR4_bright,2.5331923602499506e-05
point_dipole,18,90.0,PYR5_bright,PYR5_bright,0.9999635846386795
point_dipole,19,95.0,PYR5_bright,PYR2_bright,1.770507945776425e-07
point_dipole,19,95.0,PYR5_bright,PYR3_bright,3.703570852530057e-06
point_dipole,19,95.0,PYR5_bright,PYR4_bright,3.981505843817655e-05
point_dipole,19,95.0,PYR5_bright,PYR5_bright,0.999956304319915
point_dipole,20,100.0,PYR5_bright,PYR2_bright,1.7839451869986307e-07
point_dipole,20,100.0,PYR5_bright,PYR3_bright,2.846241381297949e-06
point_dipole,20,100.0,PYR5_bright,PYR4_bright,3.998726336546343e-05
point_dipole,20,100.0,PYR5_bright,PYR5_bright,0.9999569881007341
tdcac_corrected,0,0.0,PYR2_bright,PYR2_bright,0.9756299534881215
tdcac_corrected,0,0.0,PYR2_bright,PYR3_bright,0.023908137858969745
tdcac_corrected,0,0.0,PYR2_bright,PYR4_bright,0.0004615915575147992
tdcac_corrected,0,0.0,PYR2_bright,PYR5_bright,3.170953940228851e-07
tdcac_corrected,1,5.0,PYR2_bright,PYR2_bright,0.989592359124836
tdcac_corrected,1,5.0,PYR2_bright,PYR3_bright,0.008470869520479886
tdcac_corrected,1,5.0,PYR2_bright,PYR4_bright,0.0019365912477239372
tdcac_corrected,1,5.0,PYR2_bright,PYR5_bright,1.8010695927189448e-07
tdcac_corrected,2,10.0,PYR2_bright,PYR2_bright,0.9518293223634745
tdcac_corrected,2,10.0,PYR2_bright,PYR3_bright,0.03891961078408153
tdcac_corrected,2,10.0,PYR2_bright,PYR4_bright,0.009250835342477186
tdcac_corrected,2,10.0,PYR2_bright,PYR5_bright,2.3150996877468615e-07
tdcac_corrected,3,15.0,PYR2_bright,PYR2_bright,0.9956495874387743
tdcac_corrected,3,15.0,PYR2_bright,PYR3_bright,0.0026580799553368568
tdcac_corrected,3,15.0,PYR2_bright,PYR4_bright,0.0016922449418084588
tdcac_corrected,3,15.0,PYR2_bright,PYR5_bright,8.766408094486175e-08
tdcac_corrected,4,20.0,PYR2_bright,PYR2_bright,0.9270639515242309
tdcac_corrected,4,20.0,PYR2_bright,PYR3_bright,0.0710525872150564
tdcac_corrected,4,20.0,PYR2_bright,PYR4_bright,0.0018833729556874265
tdcac_corrected,4,20.0,PYR2_bright,PYR5_bright,8.830502544775294e-08
tdcac_corrected,5,25.0,PYR2_bright,PYR2_bright,0.9899947114994085
tdcac_corrected,5,25.0,PYR2_bright,PYR3_bright,0.009859814811961574
tdcac_corrected,5,25.0,PYR2_bright,PYR4_bright,0.0001453132735680007
tdcac_corrected,5,25.0,PYR2_bright,PYR5_bright,1.6041506134376134e-07
tdcac_corrected,6,30.0,PYR2_bright,PYR2_bright,0.9847693692869617
tdcac_corrected,6,30.0,PYR2_bright,PYR3_bright,0.011475365349740595
tdcac_corrected,6,30.0,PYR2_bright,PYR4_bright,0.003754896844868163
