time_ps,temperature_K,potential_kJ_mol,total_energy_kJ_mol,CAP_SOL_LJ_kJ_mol
14.5,297.335418701172,-764257.875,-641510.25,16.820167541504
14.55,299.043365478516,-764021.0625,-640568.3125,24.486103057861
14.6,300.280639648438,-764345.9375,-640382.4375,30.452331542969
14.65,300.087677001953,-764176.3125,-640292.4375,13.856219291687
14.7,298.847442626953,-763658.125,-640286.25,13.178051948547
14.75,299.759460449219,-763682.4375,-639934.0625,8.328603744507
14.8,299.174774169922,-763276.75,-639769.75,11.845022201538
14.85,300.567504882812,-763776.25,-639694.3125,11.508941650391
14.9,301.204223632812,-763979.5625,-639634.75,12.395831108093
14.95,301.171661376953,-764265.125,-639933.75,18.385684967041
15.0,299.476654052734,-763724.0625,-640092.4375,21.850177764893
15.05,298.558807373047,-763289.875,-640037.1875,22.954326629639
15.1,300.443481445312,-764309.0,-640278.25,33.680587768555
15.15,299.209533691406,-763845.875,-640324.5625,38.542285919189
15.2,298.905578613281,-764774.75,-641378.875,24.820209503174
15.25,298.835479736328,-764542.8125,-641175.875,18.944644927979
15.3,300.437316894531,-765182.5,-641154.3125,15.674169540405
15.35,296.796569824219,-764385.6875,-641860.5,19.233669281006
15.4,297.85986328125,-765194.5,-642230.375,18.463649749756
15.45,297.867584228516,-764126.5,-641159.125,20.315866470337
15.5,297.693481445312,-764402.1875,-641506.6875,20.066171646118
15.55,301.483215332031,-765347.4375,-640887.5,19.674228668213
15.6,298.579803466797,-763676.5625,-640415.1875,11.239147186279
15.65,299.649139404297,-763747.0625,-640044.25,12.20316028595
15.7,299.525085449219,-763080.75,-639429.125,12.176198959351
15.75,301.348205566406,-763641.625,-639237.375,15.444447517395
15.8,300.707916259766,-763186.5625,-639046.625,19.872234344482
15.85,300.946502685547,-763039.375,-638801.0,18.820747375488
15.9,299.562744140625,-763004.625,-639337.5,20.690412521362
15.95,300.267639160156,-763418.0,-639459.875,23.968511581421
16.0,300.044219970703,-763044.8125,-639178.875,13.969002723694
16.05,300.048065185547,-763133.375,-639265.875,13.286144256592
16.1,302.499267578125,-763500.6875,-638621.25,21.559362411499
16.15,301.998657226562,-763651.8125,-638979.0625,16.145454406738
16.2,300.8232421875,-763299.5625,-639112.0625,16.903213500977
16.25,298.771057128906,-762819.125,-639478.8125,11.634908676147
16.3,299.420471191406,-762633.75,-639025.3125,13.372861862183
16.35,299.707244873047,-762387.0,-638660.1875,11.532766342163
16.4,301.812103271484,-763166.375,-638570.625,10.326313018799
