hydrogen_node,end,hydrogen_role,attached_heavy_node,direction_x,direction_y,direction_z,local_angle_violations,local_heavy_clashes,minimum_heavy_clearance_nm,heavy_neighbor_angle_1_deg,heavy_neighbor_angle_2_deg
H:LOWER:BRIDGE_PASSIVANT_H:0054,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:04:1,0.9055950344333176,0.35078115293829343,0.2384328340497592,0,0,0.22951724626992653,120.47683076208548,120.47683076208558
H:LOWER:BRIDGE_PASSIVANT_H:0055,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:04:2,0.43349182141040177,0.5969803121387589,-0.6750550701157665,0,0,0.21479955965176825,120.45381855560012,120.45381855560011
H:LOWER:BRIDGE_PASSIVANT_H:0056,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:04:3,-0.13365842296595573,-0.24890579726620743,-0.9592608248320825,0,0,0.22951724626992706,120.47683076208563,120.47683076208563
H:LOWER:BRIDGE_PASSIVANT_H:0057,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:05:1,-0.4935361706476083,0.7519559592314781,-0.43701748665100637,0,0,0.17021917893902336,120.50454612762441,120.50454612762424
H:LOWER:BRIDGE_PASSIVANT_H:0058,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:05:2,0.6626509996499621,0.5587642480096928,-0.4986744106218693,0,0,0.21464561820233985,120.50657917432966,120.50657917432966
H:LOWER:BRIDGE_PASSIVANT_H:0059,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:05:3,0.9142597975721131,-0.4009535392702584,0.058011049723756924,0,0,0.1601070744096629,120.67807189717843,120.10561787639071
H:LOWER:BRIDGE_PASSIVANT_H:0060,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:06:1,0.0604523429349205,0.2783908436969958,-0.9585635359116023,0,0,0.09683357669310144,114.88196339837435,100.32604477134944
H:LOWER:BRIDGE_PASSIVANT_H:0061,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:06:2,-0.30059852990065605,-0.5896043823954675,0.7496713920656329,0,0,0.20598404833832237,112.49702441551042,112.49702441551044
H:LOWER:BRIDGE_PASSIVANT_H:0062,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:06:3,0.5623670411934406,-0.32582714327500517,0.7599868312573479,0,0,0.1140290841113765,112.49713084670542,112.49713084670555
H:LOWER:BRIDGE_PASSIVANT_H:0063,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:07:1,-0.052403866618628926,0.27153997409964553,-0.9609994158319665,0,0,0.1429125249742971,118.5020389691399,118.50203896913982
H:LOWER:BRIDGE_PASSIVANT_H:0064,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:07:2,0.47414813320074584,-0.7894428945278308,0.3898249146242042,0,0,0.17785808080918294,118.50189670494763,118.50189670494775
H:LOWER:BRIDGE_PASSIVANT_H:0065,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:07:3,-0.4582274014693646,-0.3548770555384495,0.8149171270718233,0,0,0.1036445533034247,113.08005932698762,114.37176641462112
H:LOWER:BRIDGE_PASSIVANT_H:0066,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:08:1,0.5012659226136539,0.656324536088661,-0.5638887994580902,0,0,0.1531151882098853,121.01168543911066,121.01168543911054
H:LOWER:BRIDGE_PASSIVANT_H:0067,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:08:2,-0.7930248270391683,0.5645756651483119,-0.2288360592691598,0,0,0.21512061436590452,121.01688486637676,121.01688486637659
H:LOWER:BRIDGE_PASSIVANT_H:0068,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:08:3,-0.8140020974820066,-0.4587076447609174,-0.3563535911602209,0,0,0.18285763995923848,121.02292132195946,119.79144611527111
H:LOWER:BRIDGE_PASSIVANT_H:0069,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:09:1,-0.755283673900895,0.6107467372191534,0.23777088744193411,0,0,0.22952289225552652,120.48190483403475,120.48190483403485
H:LOWER:BRIDGE_PASSIVANT_H:0070,LOWER,BRIDGE_PASSIVANT_H,BR:LOWER:09:2,-0.7310639686521038,0.0814092625820432,-0.6774348719282791,0,0,0.21477017855978317,120.46391098333612,120.46391098333632
