end,end_local_index,source_R1_cap_index_zero_based,source_R1_cap_index_one_based,x_nm,y_nm,z_nm,radial_distance_from_axis_nm,axial_coordinate_nm
upper,100,281,282,2.658,3.297,8.218,1.1137826890662623,3.2092747253085054
upper,101,282,283,2.831,2.997,8.218,1.114017193877886,3.2092747253085054
upper,102,283,284,3.524,2.597,8.218,1.1139145389808955,3.2092747253085054
upper,103,284,285,4.737,3.097,8.218,1.2005404327209943,3.2092747253085054
upper,104,285,286,4.737,4.297,8.218,1.2001963265766702,3.2092747253085054
upper,105,286,287,3.697,4.897,8.218,1.1996558376024848,3.2092747253085054
upper,106,287,288,2.658,4.297,8.218,1.1999264372891885,3.2092747253085054
upper,107,288,289,2.658,3.097,8.218,1.200270620808201,3.2092747253085054
upper,108,289,290,3.697,2.497,8.218,1.2003442611323123,3.2092747253085054
upper,109,290,291,4.91,3.597,8.218,1.2168003211469325,3.2092747253085054
upper,110,291,292,4.91,3.797,8.218,1.2167437432884742,3.2092747253085054
upper,111,292,293,2.485,3.797,8.218,1.2164332139333256,3.2092747253085054
upper,112,293,294,2.485,3.597,8.218,1.216489806234228,3.2092747253085054
upper,113,294,295,4.217,2.597,8.218,1.2168810634680876,3.2092747253085054
upper,114,295,296,4.39,2.697,8.218,1.2167417897795114,3.2092747253085054
upper,115,296,297,4.39,4.697,8.218,1.2161758655225614,3.2092747253085054
upper,116,297,298,4.217,4.797,8.218,1.2162586035869574,3.2092747253085054
upper,117,298,299,3.178,4.797,8.218,1.2161255127971835,3.2092747253085054
upper,118,299,300,3.005,4.697,8.218,1.2159984385300782,3.2092747253085054
upper,119,300,301,3.005,2.697,8.218,1.216564445322929,3.2092747253085054
upper,120,301,302,3.178,2.597,8.218,1.2167480407644555,3.2092747253085054
upper,121,302,303,4.563,2.797,8.218,1.2489914504769333,3.2092747253085054
upper,122,303,304,4.91,3.397,8.218,1.2492960843030398,3.2092747253085054
upper,123,304,305,4.91,3.997,8.218,1.2491307586157738,3.2092747253085054
upper,124,305,306,4.563,4.597,8.218,1.2484952867190997,3.2092747253085054
upper,125,306,307,2.831,4.597,8.218,1.2489727100951893,3.2092747253085054
upper,126,307,308,2.485,3.997,8.218,1.2488282825306807,3.2092747253085054
upper,127,308,309,2.485,3.397,8.218,1.2489936482558346,3.2092747253085054
upper,128,309,310,2.831,2.797,8.218,1.2494686842683127,3.2092747253085054
upper,129,310,311,4.044,2.497,8.218,1.2493984401537401,3.2092747253085054
upper,130,311,312,4.044,4.897,8.218,1.2487370602809231,3.2092747253085054
upper,131,312,313,3.351,4.897,8.218,1.2486506009468137,3.2092747253085054
upper,132,313,314,3.351,2.497,8.218,1.2493120265907938,3.2092747253085054
upper,133,314,315,3.871,2.397,8.218,1.3118884868349039,3.2092747253085054
upper,134,315,316,4.737,2.897,8.218,1.3120346852539924,3.2092747253085054
upper,135,316,317,4.91,3.197,8.218,1.3118225455321835,3.2092747253085054
upper,136,317,318,4.91,4.197,8.218,1.311560127256234,3.2092747253085054
upper,137,318,319,4.737,4.497,8.218,1.3116148587205407,3.2092747253085054
upper,138,319,320,3.871,4.997,8.218,1.3112061243903592,3.2092747253085054
upper,139,320,321,3.524,4.997,8.218,1.3111648956609019,3.2092747253085054
upper,140,321,322,2.658,4.497,8.218,1.3113679003978616,3.2092747253085054
upper,141,322,323,2.485,4.197,8.218,1.311272052068868,3.2092747253085054
upper,142,323,324,2.485,3.197,8.218,1.3115345279843185,3.2092747253085054
upper,143,324,325,2.658,2.897,8.218,1.3117878059682269,3.2092747253085054
upper,144,325,326,3.524,2.397,8.218,1.31184727955073,3.2092747253085054
