atom_id_i,atom_id_j,type_i,type_j,distance_A
8922,9210,1,2,3.3898399999999995
10854,11142,1,2,3.389900000000001
13094,13382,2,1,3.389800000000001
15026,15314,2,1,3.389800000000008
3657,3945,1,2,3.389800000000001
7545,7833,1,2,3.3898200000000003
1996,2284,1,2,3.389800000000008
15605,15893,1,2,3.3899000000000115
6168,6456,2,1,3.389900000000001
10056,10344,1,2,3.389900000000001
2859,3147,1,2,3.389800000000008
4507,4795,2,1,3.389800000000001
6747,7035,1,2,3.3897999999999975
14228,14516,2,1,3.389800000000008
8679,8967,1,2,3.3898399999999995
10919,11207,1,2,3.389900000000001
1198,1486,2,1,3.3899000000000115
12567,12855,2,1,3.389800000000001
16134,16422,2,1,3.389799999999994
5370,5658,2,1,3.3898999999999972
16739,17027,1,2,3.389799999999994
9258,9546,2,1,3.3898200000000003
2061,2349,2,1,3.389799999999994
13430,13718,2,1,3.389800000000001
3709,3997,2,1,3.389800000000001
7881,8169,1,2,3.38983
400,688,2,1,3.3899000000000115
11769,12057,2,1,3.3898999999999972
4572,4860,2,1,3.389800000000001
15941,16229,1,2,3.389799999999994
13959,14247,2,1,3.389799999999994
7083,7371,1,2,3.389900000000001
16470,16758,1,2,3.3899000000000115
1534,1822,2,1,3.389799999999994
5101,5389,2,1,3.389800000000001
9273,9561,1,2,3.3898200000000003
5706,5994,2,1,3.389800000000001
13161,13449,2,1,3.389800000000001
9594,9882,2,1,3.389800000000001
7612,7900,1,2,3.3898200000000003
2397,2685,2,1,3.3898999999999972
11784,12072,1,2,3.3898999999999972
15672,15960,1,2,3.3899000000000115
4303,4591,2,1,3.3898999999999972
736,1024,2,1,3.389799999999994
8475,8763,1,2,3.38982
4908,5196,1,2,3.389800000000001
12363,12651,2,1,3.389800000000001
2926,3214,2,1,3.389799999999994
14295,14583,2,1,3.389800000000008
6814,7102,1,2,3.3897999999999975
16535,16823,1,2,3.3899000000000115
12968,13256,1,2,3.389800000000001
10986,11274,2,1,3.389800000000001
14874,15162,1,2,3.389799999999994
5437,5725,2,1,3.3898999999999972
2128,2416,2,1,3.389799999999994
13497,13785,2,1,3.389800000000001
7948,8236,1,2,3.38983
10188,10476,2,1,3.3897999999999975
751,1039,1,2,3.389799999999994
4639,4927,1,2,3.389800000000001
16008,16296,1,2,3.389799999999994
8811,9099,1,2,3.3898399999999995
1330,1618,2,1,3.3899000000000115
12699,12987,1,2,3.3898999999999972
3262,3550,2,1,3.3898999999999972
16871,17159,1,2,3.389799999999994
7150,7438,1,2,3.389900000000001
11322,11610,2,1,3.389800000000001
1601,1889,2,1,3.389799999999994
3841,4129,1,2,3.389800000000001
15210,15498,1,2,3.389800000000008
13228,13516,2,1,3.389800000000001
8013,8301,1,2,3.38983
11901,12189,1,2,3.389800000000001
2464,2752,2,1,3.3898999999999972
16073,16361,1,2,3.389799999999994
6352,6640,2,1,3.389800000000001
10524,10812,2,1,3.389800000000001
14412,14700,2,1,3.3898999999999972
8542,8830,1,2,3.38982
4975,5263,1,2,3.389800000000001
16602,16890,1,2,3.3899000000000115
1666,1954,2,1,3.389799999999994
13035,13323,1,2,3.389800000000001
9726,10014,2,1,3.389800000000001
289,577,2,1,3.3899000000000115
4177,4465,1,2,3.3898999999999972
11916,12204,2,1,3.389800000000001
2195,2483,2,1,3.389799999999994
15804,16092,1,2,3.3899000000000115
8349,8637,2,1,3.3898399999999995
12237,12525,2,1,3.389800000000001
6367,6655,1,2,3.389800000000001
10255,10543,2,1,3.3897999999999975
14427,14715,1,2,3.3898999999999972
4706,4994,1,2,3.389800000000001
1397,1685,2,1,3.3899000000000115
12766,13054,1,2,3.3898999999999972
7551,7839,1,2,3.3898200000000003
5569,5857,1,2,3.389800000000001
16938,17226,1,2,3.389799999999994
9457,9745,2,1,3.3898200000000003
20,308,2,1,3.389799999999994
13629,13917,1,2,3.3898999999999972
8080,8368,2,1,3.3898399999999995
599,887,1,2,3.389799999999994
11968,12256,1,2,3.389800000000001
2531,2819,2,1,3.3898999999999972
4771,5059,1,2,3.389800000000001
1204,1492,2,1,3.3899000000000115
8659,8947,1,2,3.3898399999999995
16140,16428,2,1,3.389799999999994
10591,10879,2,1,3.389800000000001
12831,13119,1,2,3.3898999999999972
14763,15051,1,2,3.389799999999994
7282,7570,2,1,3.389800000000001
1733,2021,1,2,3.389800000000008
15342,15630,2,1,3.389799999999994
5905,6193,1,2,3.389800000000001
9793,10081,1,2,3.389900000000001
13965,14253,2,1,3.389799999999994
4244,4532,2,1,3.3898999999999972
2596,2884,1,2,3.389800000000008
6484,6772,2,1,3.389800000000001
8416,8704,1,2,3.38982
15871,16159,2,1,3.389799999999994
935,1223,2,1,3.389799999999994
12304,12592,2,1,3.389800000000001
10656,10944,1,2,3.389800000000001
5107,5395,2,1,3.389800000000001
16476,16764,1,2,3.3899000000000115
8995,9283,2,1,3.38983
1798,2086,2,1,3.389800000000008
3446,3734,2,1,3.3898999999999972
13167,13455,2,1,3.389800000000001
7618,7906,1,2,3.3898200000000003
15073,15361,2,1,3.389800000000008
11506,11794,2,1,3.389800000000001
15678,15966,1,2,3.3899000000000115
4309,4597,2,1,3.3898999999999972
13696,13984,1,2,3.3898999999999972
6820,7108,1,2,3.3897999999999975
950,1238,2,1,3.389799999999994
4838,5126,1,2,3.389800000000001
1271,1559,2,1,3.3899000000000115
16207,16495,2,1,3.389799999999994
9010,9298,2,1,3.38983
5443,5731,2,1,3.3898999999999972
12898,13186,1,2,3.3898999999999972
2134,2422,2,1,3.389799999999994
7349,7637,2,1,3.389800000000001
152,440,2,1,3.389799999999994
11521,11809,1,2,3.3898999999999972
4040,4328,2,1,3.3898999999999972
473,761,2,1,3.3899000000000115
15409,15697,2,1,3.389799999999994
8212,8500,2,1,3.3898399999999995
4645,4933,1,2,3.389800000000001
9860,10148,2,1,3.389900000000001
12100,12388,2,1,3.389800000000001
