component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
86,60,59,True,30,30,2,58,0,86,17078,36.6269,78.54669999999994,5.447494307494102e-15,86.66668266698565,1.1344643038092088,-100.0,100.0,200.0
87,60,59,True,30,30,2,58,0,87,17079,29.641699999999965,81.43999999999998,5.447494307494102e-15,86.66662551922738,1.2217308654142096,-100.0,100.0,200.0
88,60,59,True,30,30,2,58,0,88,17080,22.431000000000022,83.71360000000003,5.447494307494102e-15,86.6666982523276,1.3089968444335234,-100.0,100.0,200.0
89,60,59,True,30,30,2,58,0,89,17081,15.049499999999991,85.35000000000004,5.447494307494102e-15,86.66665996939079,1.3962634902675701,-100.0,100.0,200.0
90,60,59,True,30,30,2,58,0,90,17082,7.553499999999989,86.33689999999997,5.447494307494102e-15,86.66669293252163,1.4835298641258836,-100.0,100.0,200.0
91,60,59,True,30,30,2,58,0,91,17083,0.0,86.66670000000003,5.447494307494102e-15,86.66670000000003,1.5707963267948966,-100.0,100.0,200.0
92,60,59,True,30,30,2,58,0,92,17084,-7.553499999999989,86.33689999999997,5.447494307494102e-15,86.66669293252163,1.6580627894639097,-100.0,100.0,200.0
93,60,59,True,30,30,2,58,0,93,17085,-15.049499999999991,85.35000000000004,5.447494307494102e-15,86.66665996939079,1.7453291633222232,-100.0,100.0,200.0
94,60,59,True,30,30,2,58,0,94,17086,-22.431000000000022,83.71360000000003,5.447494307494102e-15,86.6666982523276,1.83259580915627,-100.0,100.0,200.0
95,60,59,True,30,30,2,58,0,95,17087,-29.641699999999965,81.43999999999998,5.447494307494102e-15,86.66662551922738,1.9198617881755837,-100.0,100.0,200.0
96,60,59,True,30,30,2,58,0,96,17088,-36.6269,78.54669999999994,5.447494307494102e-15,86.66668266698565,2.0071283497805843,-100.0,100.0,200.0
97,60,59,True,30,30,2,58,0,97,17089,-43.33329999999996,75.05549999999998,5.447494307494102e-15,86.66661969374364,2.09439497119865,-100.0,100.0,200.0
98,60,59,True,30,30,2,58,0,98,17090,-49.71000000000003,70.99319999999992,5.447494307494102e-15,86.66670956163036,2.1816618126133522,-100.0,100.0,200.0
99,60,59,True,30,30,2,58,0,99,17091,-55.708299999999916,66.39049999999999,5.447494307494102e-15,86.66667859760169,2.2689285220122994,-100.0,100.0,200.0
100,60,59,True,30,30,2,58,0,100,17092,-61.2826,61.2826,5.447494307494102e-15,86.66668405748544,2.356194490192345,-100.0,100.0,200.0
101,60,59,True,30,30,2,58,0,101,17093,-66.39049999999999,55.708299999999916,5.447494307494102e-15,86.66667859760169,2.4434604583723902,-100.0,100.0,200.0
102,60,59,True,30,30,2,58,0,102,17094,-70.99319999999992,49.71000000000003,5.447494307494102e-15,86.66670956163036,2.530727167771338,-100.0,100.0,200.0
103,60,59,True,30,30,2,58,0,103,17095,-75.05549999999998,43.33329999999996,5.447494307494102e-15,86.66661969374364,2.6179940091860403,-100.0,100.0,200.0
104,60,59,True,30,30,2,58,0,104,17096,-78.54669999999994,36.6269,5.447494307494102e-15,86.66668266698565,2.7052606306041054,-100.0,100.0,200.0
105,60,59,True,30,30,2,58,0,105,17097,-81.43999999999998,29.641699999999965,5.447494307494102e-15,86.66662551922738,2.792527192209106,-100.0,100.0,200.0
106,60,59,True,30,30,2,58,0,106,17098,-83.71360000000003,22.431000000000022,5.447494307494102e-15,86.6666982523276,2.8797931712284197,-100.0,100.0,200.0
107,60,59,True,30,30,2,58,0,107,17099,-85.35000000000004,15.049499999999991,5.447494307494102e-15,86.6666599693908,2.967059817062467,-100.0,100.0,200.0
108,60,59,True,30,30,2,58,0,108,17100,-86.33689999999997,7.553499999999989,5.447494307494102e-15,86.66669293252163,3.05432619092078,-100.0,100.0,200.0
109,60,59,True,30,30,2,58,0,109,17101,-86.66670000000003,0.0,5.447494307494102e-15,86.66670000000003,3.141592653589793,-100.0,100.0,200.0
