component_index,atom_id,atom_type,element,degree,x_A,y_A,z_A
6,3462,2,N,2,63.4415,29.5833,-59.322
6,3750,1,B,2,63.4415,29.5833,-55.9322
6,4038,2,N,2,63.4415,29.5833,-52.5424
6,4326,1,B,2,63.4415,29.5833,-49.1525
6,4614,2,N,2,63.4415,29.5833,-45.7627
6,4902,1,B,2,63.4415,29.5833,-42.3729
6,5190,2,N,2,63.4415,29.5833,-38.9831
6,5478,1,B,2,63.4415,29.5833,-35.5932
6,5766,2,N,2,63.4415,29.5833,-32.2034
6,6054,1,B,2,63.4415,29.5833,-28.8136
6,6342,2,N,2,63.4415,29.5833,-25.4237
6,6630,1,B,2,63.4415,29.5833,-22.0339
6,6918,2,N,2,63.4415,29.5833,-18.6441
6,7206,1,B,2,63.4415,29.5833,-15.2542
6,7494,2,N,2,63.4415,29.5833,-11.8644
6,7782,1,B,2,63.4415,29.5833,-8.47458
6,8070,2,N,2,63.4415,29.5833,-5.08475
6,8358,1,B,2,63.4415,29.5833,-1.69491
6,8646,2,N,2,63.4415,29.5833,1.69491
6,8934,1,B,2,63.4415,29.5833,5.08475
6,9222,2,N,2,63.4415,29.5833,8.47458
6,9510,1,B,2,63.4415,29.5833,11.8644
6,9798,2,N,2,63.4415,29.5833,15.2542
6,10086,1,B,2,63.4415,29.5833,18.6441
6,10374,2,N,2,63.4415,29.5833,22.0339
6,10662,1,B,2,63.4415,29.5833,25.4237
6,10950,2,N,2,63.4415,29.5833,28.8136
6,11238,1,B,2,63.4415,29.5833,32.2034
6,11526,2,N,2,63.4415,29.5833,35.5932
6,11814,1,B,2,63.4415,29.5833,38.9831
6,12102,2,N,2,63.4415,29.5833,42.3729
6,12390,1,B,2,63.4415,29.5833,45.7627
6,12678,2,N,2,63.4415,29.5833,49.1525
6,12966,1,B,2,63.4415,29.5833,52.5424
6,13254,2,N,2,63.4415,29.5833,55.9322
6,13542,1,B,2,63.4415,29.5833,59.322
6,13830,2,N,2,63.4415,29.5833,62.7119
6,14118,1,B,2,63.4415,29.5833,66.1017
6,14406,2,N,2,63.4415,29.5833,69.4915
6,14694,1,B,2,63.4415,29.5833,72.8814
6,14982,2,N,2,63.4415,29.5833,76.2712
6,15270,1,B,2,63.4415,29.5833,79.661
6,15558,2,N,2,63.4415,29.5833,83.0508
6,15846,1,B,2,63.4415,29.5833,86.4407
6,16134,2,N,2,63.4415,29.5833,89.8305
