offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.474,7.552440352409488e-06,3.0278326250133494e-06,7.5524403524095215e-06,3.027832625013363e-06
-0.472,7.711414770564614e-06,3.091566717223563e-06,7.711414770564704e-06,3.091566717223599e-06
-0.47,7.873695402343522e-06,3.1566262964297986e-06,7.873695402343594e-06,3.156626296429828e-06
-0.46799999999999997,8.039346828998993e-06,3.2230372537632684e-06,8.039346828999049e-06,3.223037253763291e-06
-0.46599999999999997,8.208434690881768e-06,3.2908259049558706e-06,8.208434690881806e-06,3.2908259049558854e-06
-0.46399999999999997,8.38102569625664e-06,3.3600189938746295e-06,8.381025696256663e-06,3.3600189938746384e-06
-0.46199999999999997,8.557187629809148e-06,3.430643695932097e-06,8.557187629809228e-06,3.4306436959321293e-06
-0.45999999999999996,8.736989360821854e-06,3.5027276213642865e-06,8.736989360821917e-06,3.502727621364312e-06
-0.45799999999999996,8.920500850998558e-06,3.576298818367461e-06,8.9205008509986e-06,3.5762988183674777e-06
-0.45599999999999996,9.10779316191401e-06,3.6513857760847808e-06,9.107793161914116e-06,3.6513857760848227e-06
-0.45399999999999996,9.298938462066048e-06,3.728017427433562e-06,9.298938462066133e-06,3.7280174274335957e-06
-0.45199999999999996,9.494010033506267e-06,3.8062231517635632e-06,9.494010033506333e-06,3.80622315176359e-06
-0.44999999999999996,9.69308227802463e-06,3.886032777336447e-06,9.693082278024676e-06,3.886032777336465e-06
-0.44799999999999995,9.896230722862683e-06,3.967476583616246e-06,9.896230722862707e-06,3.967476583616256e-06
-0.44599999999999995,1.0103532025929218e-05,4.050585303360373e-06,1.0103532025929313e-05,4.050585303360411e-06
-0.44399999999999995,1.0315063980491558e-05,4.135390124500385e-06,1.031506398049163e-05,4.135390124500414e-06
-0.44199999999999995,1.0530905519314744e-05,4.221922691801421e-06,1.0530905519314792e-05,4.221922691801439e-06
-0.43999999999999995,1.075113671822021e-05,4.310215108288898e-06,1.0751136718220337e-05,4.310215108288949e-06
-0.43799999999999994,1.097583879903474e-05,4.40029993643078e-06,1.0975838799034843e-05,4.400299936430821e-06
-0.43599999999999994,1.12050941318996e-05,4.492210199063316e-06,1.1205094131899677e-05,4.492210199063346e-06
-0.43399999999999994,1.1438986236909129e-05,4.585979380047971e-06,1.1438986236909181e-05,4.585979380047992e-06
-0.43199999999999994,1.1677599785047083e-05,4.6816414246468135e-06,1.1677599785047107e-05,4.681641424646823e-06
-0.42999999999999994,1.1921020598388375e-05,4.7792307396033896e-06,1.1921020598388482e-05,4.779230739603433e-06
-0.42799999999999994,1.2169335649532944e-05,4.878782192915764e-06,1.2169335649533026e-05,4.878782192915797e-06
-0.42599999999999993,1.242263306023779e-05,4.980331113288086e-06,1.2422633060237846e-05,4.980331113288108e-06
-0.424,1.2681002099212266e-05,5.083913289246706e-06,1.2681002099212296e-05,5.083913289246718e-06
-0.422,1.294453317904116e-05,5.189564967906618e-06,1.294453317904128e-05,5.1895649679066665e-06
-0.42,1.3213317852198994e-05,5.297322853373558e-06,1.3213317852199083e-05,5.297322853373595e-06
-0.418,1.3487448806118536e-05,5.407224104766933e-06,1.3487448806118597e-05,5.407224104766957e-06
-0.416,1.3767019857275445e-05,5.519306333848306e-06,1.3767019857275475e-05,5.519306333848318e-06
-0.414,1.405212594425036e-05,5.6336076022399365e-06,1.405212594425049e-05,5.633607602239989e-06
-0.412,1.4342863119729032e-05,5.750166418217571e-06,1.4342863119729132e-05,5.750166418217611e-06
-0.41,1.4639328541400164e-05,5.86902173306131e-06,1.4639328541400228e-05,5.869021733061336e-06
-0.408,1.494162046171015e-05,5.990212936948211e-06,1.4941620461710183e-05,5.990212936948224e-06
-0.40599999999999997,1.5249838216433023e-05,6.113779854369881e-06,1.5249838216433157e-05,6.1137798543699355e-06
-0.40399999999999997,1.5564082212013217e-05,6.239762739058101e-06,1.556408221201332e-05,6.239762739058142e-06
-0.40199999999999997,1.5884453911638317e-05,6.368202268401273e-06,1.588445391163839e-05,6.368202268401303e-06
-0.39999999999999997,1.6211055819997995e-05,6.499139537334164e-06,1.6211055819998036e-05,6.49913953733418e-06
-0.39799999999999996,1.6543991466685e-05,6.6326160516832275e-06,1.654399146668515e-05,6.632616051683287e-06
-0.39599999999999996,1.6883365388193305e-05,6.7686737209495236e-06,1.688336538819342e-05,6.76867372094957e-06
-0.39399999999999996,1.7229283108468096e-05,6.907354850511058e-06,1.7229283108468174e-05,6.907354850511089e-06
-0.39199999999999996,1.7581851117961638e-05,7.048702133226106e-06,1.7581851117961672e-05,7.04870213322612e-06
-0.39,1.794117685114858e-05,7.192758640418931e-06,1.794117685114878e-05,7.192758640419012e-06
-0.388,1.830736866245428e-05,7.3395678122292585e-06,1.83073686624544e-05,7.339567812229307e-06
-0.386,1.868053580054783e-05,7.489173447306143e-06,1.8680535800547953e-05,7.489173447306192e-06
-0.384,1.9060788380954104e-05,7.641619691827931e-06,1.9060788380954145e-05,7.641619691827946e-06
-0.382,1.9448237356934455e-05,7.796951027828095e-06,1.9448237356934672e-05,7.796951027828183e-06
-0.38,1.9842994488590677e-05,7.955212260808779e-06,1.984299448859081e-05,7.955212260808833e-06
-0.378,2.0245172310141026e-05,8.116448506621492e-06,2.024517231014116e-05,8.116448506621545e-06
